"species","size"
"""Nodosaria"" expolita",0.0176
"""Nodosaria"" skyphica",0.0731
"Acratia zhongyingensis",0.1885
"Altadema kokeni",6.525
"Archaeolepidotus leonardii",9086
"Cavellina triassica",0.179225
"Charliella? sp.",0.042
"Claraia aurita",341.9691
"Claraia clarae",560.625236741496
"Claraia griesbachi",86.3326274290034
"Claraia orbicularis",440
"Claraia stachei",1677
"Coelostylina werfensis",74.6541666666667
"Cornuspira? mahajeri",6e-04
"Diplosphaerina inaequalis",0.0088
"Earlandia? sp.",0.0536
"Echinoidea gen et sp. indet",82.35
"Ellisonia agordina",41.4
"Ellisonia triassica",66.5
"Eotiaris teseroensis",82.35
"Eumorphotis multiformis",370.708333333333
"Fabalicypris? sp. A",0.0966
"Geinitzina sp. indet.",0.0286
"Globivalvulina lukachiensis",0.032
"Hadrodontina anceps",212.84
"Hadrodontina equabilis",56.35
"Hindeodus parvus",20.37
"Hindeodus pisai",14.175
"Hindeodus typicalis",28.75
"Isarcicella inflata",31.2
"Isarcicella isarcica",22.22
"Isarcicella lobata",20.9777777777778
"Isarcicella prisca",24.8775
"Isarcicella staeschei",22.80625
"Isarcicella turgida",14.94
"Kerocythere? sp. 1",0.115
"Langdaia bullabalvanyensis",0.088125
"Langdaia laolongdongensis",0.3096
"Liuzhinia antalyaensis",0.1323
"Neoschizodus laevigatus",165.5625
"Neoschizodus orbicularis",48.51
"Neoschizodus ovatus",112.496
"Paracypris gaetanii",0.0966
"Paracypris sp. 1",0.2775
"Postcladella kalhori",0.013975
"Pteria cf. ussurica",112.5
"Towapteria scythica",65.6366666666667
"Trentingula lorigae",81.4009
"Trentingula mazzinensis",11.7930859375
"Unionites canalensis",86.8481922537553
"Unionites fassaensis",34.1945345618662
"Warthia vaceki",67.624
"Xaniognathus gradatus",16.53
