"species","size"
"""Nodosaria"" elabugae",0.027
"""Spirigera?"" faba",99
"Acharax frenademezi",649.693679012346
"Acrodus sp. A",104362.5
"Acrodus sp. B",55200
"Agathammina elongata",0.2625
"Agathammina pusilla",1.296
"Agathammina? sp.",0.2625
"Allorisma depressum",220.5
"Archaeocidaris ladina",2551.5
"Arqoviella? dolomitica",0.13905
"Atyhris planosulcata",638
"Atyhris royssii",357
"Aulacophloia cf. martiniae",0.012
"Avicula aff. tofanae",55
"Avicula genitrix",120
"Avicula salvani",1022
"Aviculopecten cf. squamula",100
"Aviculopecten praecursor",1408
"Aviculopecten pseudocaenus",1840
"Aviculopecten? bellerophontis",190.555555555556
"Bairdia (Rectobairdia) kershawi",0.397375
"Bairdia cf. subcontracta",0.3698
"Bairdia cheni",0.1584
"Bairdia deweveri",0.313775
"Bairdia hassi",0.198
"Bairdia ortiseiensis",0.2924
"Bairdia permagna",0.266
"Bairdiacypris fornicata",0.2546
"Bairdiacypris longirobusta",0.3698
"Bairdiacypris wangi",0.46
"Bairdiacypris? caeca",0.3984
"Baisalina pulchra",0.7209
"Bakevellia (Bakevellia) binneyi",106.742082644628
"Bakevellia (Bakevellia) ceratophaga",81.5825706666667
"Bakevellia (Bakevellia) cf. nikitowkensis",35
"Bakevellia (Bakevellia) preromangica",35.0274583333333
"Basslerella annesophieae",0.118125
"Baylea sequens",72
"Bellerophon cadoricus",116.25
"Bellerophon canevai",292.5
"Bellerophon carnicus",403.277777777778
"Bellerophon cf. hiulcus",502.25
"Bellerophon cf. triangularis ",154
"Bellerophon comelicanus",560
"Bellerophon fallax",288
"Bellerophon guembeli",279.8125
"Bellerophon italicus",399
"Bellerophon jacobi",1069.5
"Bellerophon mojsvari",227.5
"Bellerophon peregrinus",736.714285714286
"Bellerophon sextensis",168.96
"Bellerophon tommasii",396
"Bellerophon ulrici",415.555555555556
"Bellerophon vigilii",392
"Bituberitina? sp.",0.006825
"Bobasatrania antiqua",7500
"Bobasatrania ladina",7500
"Brachycycloceras? dieneri",1020
"Bryozoa indet.",0.128
"Calcitornella sp.",0.0259
"Callicythere? seisensis",0.175222222222222
"Calvezina ottomana",0.153
"Cardiomorpha aff. nysti",198
"Cardiomorpha globata",156
"Cassianella? stachei",137.5
"Catubria paronae",51
"Cavellina alpina",0.207
"Cavellina bellerophonella",0.267675
"Cavellina visnyoensis",0.2604
"Ceratiocaris cf. solenoides",108
"Chaenocaris aff. tenuistriata",198
"Charliella cf. altineri",0.2475
"Charliella dolomitica",0.237075
"Colaniella? sp.",0.408
"Comelicania haueri",5383.30078125
"Comelicania megalotis",5165.45918367347
"Comelicania merlai",2392.7592
"Comelicothyris laterosulcata",496.9325
"Comelicothyris recticardinis",672.465694444444
"Cornuspira? mahajeri",6e-04
"Crenipecten? dichotomo-costatus",217.777777777778
"Cryptobairdia bellerophonella",0.7392
"Cryptobairdia postilonga",0.1961
"Cryptomorphina limonitica",0.0861
"Cryptoseptida anatoliensis",0.2736
"Cypridina crassa",98
"Cypridinella bellerophontium",84
"Dagmarita chanakchiensis",0.722
"Dicosmos cf. fastigata",304
"Dielasma cf. plica",323
"Dielasma cf. truncatum",60.8
"Dielasma pentagonum",180
"Earlandia tintinniformis",0.0231
"Earlandia? sp.",0.0536
"Edmondia cf. radiata",260
"Edmondia hautmanni",257.933368
"Eotuberitina reitlingerae",0.010875
"Eotubespina spinosa",0.060025
"Etheripecten stuflesseri",363.5217625
"Eumorphotis cingulata",552.1875
"Eumorphotis lorigae",277.483237037037
"Eumorphotis praecurrens",501.936639053254
"Eumorphotis striatocostata",664.942970703125
"Fabalicypris cf. visnyoensis",0.1674
"Fabalicypris? sp. A",0.0966
"Floritheca variata",0.0644
"Foordiceras dolomiticum",3949.66666666667
"Frondina cf. permica",0.03
"Frondina permica",0.0429
"Frondinodosaria cf. semivelata",0.1001
"Gardenapecten comelicanus",184.219309765625
"Gardenapecten trinkeri",139.010142687277
"Geffenina? sp. 1",0.1836
"Geinitzina cf. spandeli",0.0153
"Geinitzina postcarbonica",1.63
"Geinitzina sp. 1",0.0345
"Geinitzina sp. 2",0.028
"Geinitzina sp. indet.",0.0286
"Geinitzina spandeli dolomitica",0.115
"Geinitzina taurica",0.015
"Geinitzina uralica simplex",0.0667
"Germanonautilus? sp.",2550
"Globivalvulina bulloides",0.0682
"Globivalvulina cyprica",0.3
"Globivalvulina graeca",0.781
"Globivalvulina vonderschmitti",1.05
"Globogaetania sp.",0.312
"Glomomidiella? cf. infrapermica",0.3483
"Glyptopleurina pasinii",0.17515
"Grammatodon (Cosmetodon) obsoletiformis",432.97715625
"Hayasakaina cf. paraminor",0.54
"Hemigordiella elegans",0.0077
"Hemigordius minima",0.063
"Hemigordius sp. 2",0.085
"Hemiptychina sublaevis",172.5
"Hemiptychina? orientalis",700
"Hindeodus latidentatus",6.095
"Hindeodus praeparvus",16.625
"Hindeodus typicalis",28.75
"Hoernesia pironai",280
"Hoyenella annulata",0.01175
"Hoyenella farsani",0.01175
"Hoyenella paucispira",0.008325
"Hoyenella? sp.",0.03185
"Ichthyofrondina latilimbata",0.031175
"Indivisia sp. 1",0.682
"Indivisia sp. 2",0.3066
"Janiceps bipartita",748.222222222222
"Janiceps cadorica",470.991570247934
"Janiceps papilio",686.071111111111
"Janiceps peracuta",369.969230769231
"Janiceps? impar",126.5
"Judahella? binodata",0.102
"Kempfina qinglaii",0.3003
"Kempfina sp. 2",0.1056
"Kempfina tergilata",0.3404
"Kirkbya cf. buekkensis",0.273
"Knightina bullaensis",0.07995
"Knoxiella ventrospinosa",0.162
"Labioglobivalvulina baudi",0.1025
"Labioglobivalvulina fortis",0.5175
"Ladinomya fosteri",173.1753828125
"Langella cukurkoyi",0.55
