"species","feeding","motility","tiering","size"
"Eumorphotis lorigae","suspension","non_motile_byssate","epifaunal_surficial","medium"
"?Leptochondria sp.","suspension","non_motile_byssate","epifaunal_surficial","medium"
"Wannerispira sp.","grazer_carnivore","slow_moving","epifaunal_surficial","small"
"Warthia vaceki","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Archaeolepidotus leonardii","carnivore","fast_moving","nektonic","medium"
"Ellisonia agordina","carnivore","fast_moving","nektonic","small"
"Ellisonia triassica","carnivore","fast_moving","nektonic","small"
"Hadrodontina anceps","carnivore","fast_moving","nektonic","small"
"Hindeodus latidentatus","carnivore","fast_moving","nektonic","small"
"Hindeodus praeparvus","carnivore","fast_moving","nektonic","small"
"Hindeodus typicalis","carnivore","fast_moving","nektonic","small"
"Isarcicella changxingensis","carnivore","fast_moving","nektonic","small"
"Isarcicella peculiaris","carnivore","fast_moving","nektonic","small"
"Isarcicella prisca","carnivore","fast_moving","nektonic","small"
"Isarcicella turgida","carnivore","fast_moving","nektonic","small"
"Xaniognathus gradatus","carnivore","fast_moving","nektonic","small"
"Echinoidea gen et sp. indet","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Eotiaris teseroensis","grazer_omnivore","slow_moving","epifaunal_surficial","small"
"Bairdiacypris longirobusta","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Knoxiella ventrospinosa","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Sargentina postacuta","deposit_surficial","slow_moving","epifaunal_surficial","tiny"
"Araxathyris? sp.","suspension","non_motile_attached","epifaunal_surficial","small"
"Orbicoelia dolomitensis","suspension","non_motile_attached","epifaunal_surficial","small"
"Spirigerella? teseroi","suspension","non_motile_attached","epifaunal_surficial","small"
"Teserina nerii","suspension","non_motile_attached","epifaunal_surficial","medium"
"Microconchida sp.","suspension","non_motile_attached","epifaunal_surficial","small"
"""Nodosaria"" elabugae","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Frondina cf. permica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Frondina permica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Frondinodosaria sp. 2","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina sp. 1","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina sp. indet.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina spandeli dolomitica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina spandeli plana","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Geinitzina uralica simplex","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Ichthyofrondina latilimbata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Labioglobivalvulina baudi","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nankinella cf. discoides","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Nankinella cf. quasihunanensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","small"
"Nodosinelloides cf. aequiampla","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Nodosinelloides cf. shikhanica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pachyphloia sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Palaeofusulina sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Paraglobivalvulina gracilis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Paraglobivalvulina mira","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Pilammina? sp. 1","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Polarisella sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Postcladella kalhori","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Rectoglomospira sp.","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Rectostipulina quadrata","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Robuloides gourisiensis","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Robuloides lens","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Semimeandrospira cf. karnica","deposit_surficial","non_motile_unattached","epifaunal_surficial","tiny"
"Eotuberitina? cf. praecipia","deposit_surficial","non_motile_attached","epifaunal_surficial","tiny"
