"resource","consumer"
"Ammonite_1","Ammonite_1"
"Ammonite_1","Ammonite_2"
"Ammonite_1","Ammonite_3"
"Ammonite_1","Belemnite_1"
"Ammonite_1","Fish_1"
"Ammonite_2","Ammonite_2"
"Ammonite_2","Ammonite_3"
"Ammonite_2","Belemnite_1"
"Ammonite_2","Belemnite_2"
"Ammonite_2","Fish_1"
"Ammonite_3","Ammonite_3"
"Ammonite_3","Belemnite_1"
"Ammonite_3","Belemnite_2"
"Ammonite_3","Belemnite_3"
"Ammonite_3","Fish_1"
"BASAL NODE","Bivalve_10"
"BASAL NODE","Bivalve_14"
"BASAL NODE","Bivalve_16"
"BASAL NODE","Bivalve_17"
"BASAL NODE","Bivalve_18"
"BASAL NODE","Bivalve_19"
"BASAL NODE","Bivalve_20"
"BASAL NODE","Bivalve_21"
"BASAL NODE","Bivalve_23"
"BASAL NODE","Bivalve_24"
"BASAL NODE","Bivalve_5"
"BASAL NODE","Bivalve_8"
"BASAL NODE","Brachiopod_1"
"BASAL NODE","Brachiopod_2"
"BASAL NODE","Crinoid_2"
"BASAL NODE","Gastropod_1"
"BASAL NODE","Serpulid_1"
"BASAL NODE","Soft_2"
"BASAL NODE","Soft_4"
"BASAL NODE","Soft_5"
"Belemnite_1","Belemnite_1"
"Belemnite_1","Belemnite_2"
"Belemnite_1","Belemnite_3"
"Belemnite_1","Fish_1"
"Belemnite_2","Belemnite_2"
"Belemnite_2","Belemnite_3"
"Belemnite_3","Belemnite_3"
"Bivalve_16","Ammonite_2"
"Bivalve_16","Ammonite_3"
"Bivalve_16","Belemnite_1"
"Bivalve_16","Belemnite_2"
"Bivalve_16","Echinoid_1"
"Bivalve_16","Fish_1"
"Bivalve_17","Ammonite_1"
"Bivalve_17","Ammonite_2"
"Bivalve_17","Ammonite_3"
"Bivalve_17","Belemnite_1"
"Bivalve_17","Echinoid_1"
"Bivalve_17","Fish_1"
"Bivalve_18","Ammonite_1"
"Bivalve_18","Ammonite_2"
"Bivalve_19","Ammonite_3"
"Bivalve_19","Belemnite_1"
"Bivalve_19","Belemnite_2"
"Bivalve_19","Belemnite_3"
"Bivalve_19","Echinoid_1"
"Bivalve_19","Fish_1"
"Bivalve_20","Ammonite_2"
"Bivalve_20","Ammonite_3"
"Bivalve_20","Belemnite_1"
"Bivalve_20","Belemnite_2"
"Bivalve_20","Echinoid_1"
"Bivalve_20","Fish_1"
"Bivalve_21","Ammonite_1"
"Bivalve_21","Ammonite_2"
"Bivalve_21","Ammonite_3"
"Bivalve_21","Belemnite_1"
"Bivalve_21","Echinoid_1"
"Bivalve_21","Fish_1"
"Bivalve_23","Ammonite_1"
"Bivalve_23","Ammonite_2"
"Bivalve_23","Ammonite_3"
"Bivalve_23","Belemnite_1"
"Bivalve_23","Echinoid_1"
"Bivalve_23","Fish_1"
"Bivalve_24","Ammonite_1"
"Bivalve_24","Ammonite_2"
"Bivalve_24","Ammonite_3"
"Bivalve_24","Belemnite_1"
"Bivalve_24","Echinoid_1"
"Bivalve_24","Fish_1"
"Brachiopod_1","Ammonite_1"
"Brachiopod_1","Ammonite_2"
"Brachiopod_1","Ammonite_3"
"Brachiopod_1","Belemnite_1"
"Brachiopod_1","Echinoid_1"
"Brachiopod_1","Fish_1"
"Crinoid_2","Ammonite_1"
"Crinoid_2","Ammonite_2"
"Crinoid_2","Ammonite_3"
"Crinoid_2","Belemnite_1"
"Crinoid_2","Echinoid_1"
"Crinoid_2","Fish_1"
"Echinoid_1","Ammonite_3"
"Echinoid_1","Belemnite_1"
"Echinoid_1","Belemnite_2"
"Echinoid_1","Belemnite_3"
"Echinoid_1","Echinoid_1"
"Echinoid_1","Fish_1"
"Fish_1","Belemnite_1"
"Fish_1","Belemnite_2"
"Fish_1","Belemnite_3"
"Fish_1","Fish_1"
"Gastropod_1","Ammonite_1"
"Gastropod_1","Ammonite_2"
"Serpulid_1","Ammonite_1"
"Serpulid_1","Ammonite_2"
"Serpulid_1","Ammonite_3"
"Serpulid_1","Belemnite_1"
"Serpulid_1","Echinoid_1"
"Serpulid_1","Fish_1"
"Soft_2","Ammonite_1"
"Soft_2","Ammonite_2"
"Soft_2","Ammonite_3"
"Soft_2","Belemnite_1"
"Soft_2","Echinoid_1"
"Soft_2","Fish_1"
