left,right,β_int,β_spp,links_left,links_right
adbm,bodymassratio,0,355,12472,8943
adbm,niche,0,0,12472,12807
adbm,pfim,1309,355,12472,6901
adbm,random,3141,355,12472,25204
bodymassratio,niche,0,0,8943,12807
bodymassratio,pfim,180,355,8943,6901
bodymassratio,random,1954,355,8943,25204
niche,pfim,0,0,12807,6901
niche,random,0,0,12807,25204
pfim,random,1019,355,6901,25204
adbm,bodymassratio,0,355,12472,8943
adbm,niche,0,0,12472,12807
adbm,pfim,1309,355,12472,6901
adbm,random,3141,355,12472,25204
bodymassratio,niche,0,0,8943,12807
bodymassratio,pfim,180,355,8943,6901
bodymassratio,random,1954,355,8943,25204
niche,pfim,0,0,12807,6901
niche,random,0,0,12807,25204
pfim,random,1019,355,6901,25204
adbm,bodymassratio,0,355,12472,8943
adbm,niche,0,0,12472,12807
adbm,pfim,1309,355,12472,6901
adbm,random,3141,355,12472,25204
bodymassratio,niche,0,0,8943,12807
bodymassratio,pfim,180,355,8943,6901
bodymassratio,random,1954,355,8943,25204
niche,pfim,0,0,12807,6901
niche,random,0,0,12807,25204
pfim,random,1019,355,6901,25204
adbm,bodymassratio,0,355,12472,8943
adbm,niche,0,0,12472,12807
adbm,pfim,1309,355,12472,6901
adbm,random,3141,355,12472,25204
bodymassratio,niche,0,0,8943,12807
bodymassratio,pfim,180,355,8943,6901
bodymassratio,random,1954,355,8943,25204
niche,pfim,0,0,12807,6901
niche,random,0,0,12807,25204
pfim,random,1019,355,6901,25204
adbm,bodymassratio,0,355,12472,8943
adbm,niche,0,0,12472,12807
adbm,pfim,1309,355,12472,6901
adbm,random,3141,355,12472,25204
bodymassratio,niche,0,0,8943,12807
bodymassratio,pfim,180,355,8943,6901
bodymassratio,random,1954,355,8943,25204
niche,pfim,0,0,12807,6901
niche,random,0,0,12807,25204
pfim,random,1019,355,6901,25204
adbm,bodymassratio,0,54,449,218
adbm,niche,0,0,449,288
adbm,pfim,101,54,449,425
adbm,random,52,54,449,584
bodymassratio,niche,0,0,218,288
bodymassratio,pfim,36,54,218,425
bodymassratio,random,43,54,218,584
niche,pfim,0,0,288,425
niche,random,0,0,288,584
pfim,random,75,54,425,584
adbm,bodymassratio,0,54,449,218
adbm,niche,0,0,449,288
adbm,pfim,101,54,449,425
adbm,random,52,54,449,584
bodymassratio,niche,0,0,218,288
bodymassratio,pfim,36,54,218,425
bodymassratio,random,43,54,218,584
niche,pfim,0,0,288,425
niche,random,0,0,288,584
pfim,random,75,54,425,584
adbm,bodymassratio,0,54,449,218
adbm,niche,0,0,449,288
adbm,pfim,101,54,449,425
adbm,random,52,54,449,584
bodymassratio,niche,0,0,218,288
bodymassratio,pfim,36,54,218,425
bodymassratio,random,43,54,218,584
niche,pfim,0,0,288,425
niche,random,0,0,288,584
pfim,random,75,54,425,584
adbm,bodymassratio,0,54,449,218
adbm,niche,0,0,449,288
adbm,pfim,101,54,449,425
adbm,random,52,54,449,584
bodymassratio,niche,0,0,218,288
bodymassratio,pfim,36,54,218,425
bodymassratio,random,43,54,218,584
niche,pfim,0,0,288,425
niche,random,0,0,288,584
pfim,random,75,54,425,584
adbm,bodymassratio,0,54,449,218
adbm,niche,0,0,449,288
adbm,pfim,101,54,449,425
adbm,random,52,54,449,584
bodymassratio,niche,0,0,218,288
bodymassratio,pfim,36,54,218,425
bodymassratio,random,43,54,218,584
niche,pfim,0,0,288,425
niche,random,0,0,288,584
pfim,random,75,54,425,584
adbm,bodymassratio,0,53,472,235
adbm,niche,0,0,472,242
adbm,pfim,75,53,472,339
adbm,random,43,53,472,562
bodymassratio,niche,0,0,235,242
bodymassratio,pfim,43,53,235,339
bodymassratio,random,73,53,235,562
niche,pfim,0,0,242,339
niche,random,0,0,242,562
pfim,random,23,53,339,562
adbm,bodymassratio,0,53,472,235
adbm,niche,0,0,472,242
adbm,pfim,75,53,472,339
adbm,random,43,53,472,562
bodymassratio,niche,0,0,235,242
bodymassratio,pfim,43,53,235,339
bodymassratio,random,73,53,235,562
niche,pfim,0,0,242,339
niche,random,0,0,242,562
pfim,random,23,53,339,562
adbm,bodymassratio,0,53,472,235
adbm,niche,0,0,472,242
adbm,pfim,75,53,472,339
adbm,random,43,53,472,562
bodymassratio,niche,0,0,235,242
bodymassratio,pfim,43,53,235,339
bodymassratio,random,73,53,235,562
niche,pfim,0,0,242,339
niche,random,0,0,242,562
pfim,random,23,53,339,562
adbm,bodymassratio,0,53,472,235
adbm,niche,0,0,472,242
adbm,pfim,75,53,472,339
adbm,random,43,53,472,562
bodymassratio,niche,0,0,235,242
bodymassratio,pfim,43,53,235,339
bodymassratio,random,73,53,235,562
niche,pfim,0,0,242,339
niche,random,0,0,242,562
pfim,random,23,53,339,562
adbm,bodymassratio,0,53,472,235
adbm,niche,0,0,472,242
adbm,pfim,75,53,472,339
adbm,random,43,53,472,562
bodymassratio,niche,0,0,235,242
bodymassratio,pfim,43,53,235,339
bodymassratio,random,73,53,235,562
niche,pfim,0,0,242,339
niche,random,0,0,242,562
pfim,random,23,53,339,562
