model,extinction_mechanism,n_rep,β_int_shared,β_int_all,β_spp,links_left,links_right
adbm,random,1,6,6,10,106,112
adbm,generality_descending,1,12,12,12,106,69
adbm,vulnerability_descending,1,30,30,15,106,313
adbm,size_descending,1,10,10,10,106,76
adbm,motility_descending,1,17,17,13,106,165
adbm,tiering_descending,1,0,0,3,106,103
adbm,calcification_descending,1,11,11,8,106,102
adbm,generality_ascending,1,21,21,11,106,208
adbm,vulnerability_ascending,1,14,14,10,106,85
adbm,size_ascending,1,33,33,16,106,361
adbm,motility_ascending,1,3,3,9,106,84
adbm,tiering_ascending,1,30,30,14,106,106
adbm,calcification_ascending,1,16,16,10,106,99
adbm,random,1,23,23,11,106,112
adbm,generality_descending,1,12,12,12,106,69
adbm,vulnerability_descending,1,30,30,15,106,313
adbm,size_descending,1,9,9,10,106,75
adbm,motility_descending,1,13,13,9,106,113
adbm,tiering_descending,1,6,6,5,106,125
adbm,calcification_descending,1,16,16,10,106,113
adbm,generality_ascending,1,21,21,11,106,208
adbm,vulnerability_ascending,1,14,14,10,106,85
adbm,size_ascending,1,52,52,19,106,449
adbm,motility_ascending,1,11,11,9,106,108
adbm,tiering_ascending,1,41,41,15,106,111
adbm,calcification_ascending,1,10,10,8,106,98
adbm,random,1,19,19,10,106,95
adbm,generality_descending,1,12,12,12,106,69
adbm,vulnerability_descending,1,30,30,15,106,313
adbm,size_descending,1,12,12,12,106,73
adbm,motility_descending,1,3,3,9,106,104
adbm,tiering_descending,1,0,0,4,106,94
adbm,calcification_descending,1,15,15,9,106,115
adbm,generality_ascending,1,21,21,11,106,208
adbm,vulnerability_ascending,1,14,14,10,106,85
adbm,size_ascending,1,44,44,18,106,418
adbm,motility_ascending,1,21,21,11,106,104
adbm,tiering_ascending,1,18,18,12,106,111
adbm,calcification_ascending,1,0,0,8,106,88
adbm,random,1,8,8,7,106,112
adbm,generality_descending,1,12,12,12,106,69
adbm,vulnerability_descending,1,30,30,15,106,313
adbm,size_descending,1,12,12,12,106,72
adbm,motility_descending,1,14,14,10,106,112
adbm,tiering_descending,1,0,0,3,106,85
adbm,calcification_descending,1,21,21,10,106,113
adbm,generality_ascending,1,21,21,11,106,208
adbm,vulnerability_ascending,1,14,14,10,106,85
adbm,size_ascending,1,61,61,19,106,483
adbm,motility_ascending,1,13,13,11,106,118
adbm,tiering_ascending,1,25,25,13,106,114
adbm,calcification_ascending,1,3,3,8,106,101
adbm,random,1,14,14,10,106,91
adbm,generality_descending,1,12,12,12,106,69
adbm,vulnerability_descending,1,30,30,15,106,313
adbm,size_descending,1,10,10,10,106,73
adbm,motility_descending,1,24,24,11,106,110
adbm,tiering_descending,1,3,3,4,106,114
adbm,calcification_descending,1,1,1,7,106,68
adbm,generality_ascending,1,21,21,11,106,208
adbm,vulnerability_ascending,1,14,14,10,106,85
adbm,size_ascending,1,30,30,15,106,313
adbm,motility_ascending,1,5,5,9,106,88
adbm,tiering_ascending,1,25,25,13,106,109
adbm,calcification_ascending,1,9,9,8,106,116
bodymassratio,random,1,3,3,10,52,63
bodymassratio,generality_descending,1,2,2,9,52,87
bodymassratio,vulnerability_descending,1,2,2,12,52,62
bodymassratio,size_descending,1,14,14,19,52,399
bodymassratio,motility_descending,1,3,3,9,52,73
bodymassratio,tiering_descending,1,6,6,12,52,261
bodymassratio,calcification_descending,1,4,4,9,52,70
bodymassratio,generality_ascending,1,2,2,9,52,80
bodymassratio,vulnerability_ascending,1,1,1,7,52,92
bodymassratio,size_ascending,1,2,2,7,52,88
bodymassratio,motility_ascending,1,7,7,12,52,71
bodymassratio,tiering_ascending,1,8,8,15,52,69
bodymassratio,calcification_ascending,1,1,1,9,52,56
bodymassratio,random,1,1,1,6,52,63
bodymassratio,generality_descending,1,2,2,9,52,87
bodymassratio,vulnerability_descending,1,2,2,12,52,62
bodymassratio,size_descending,1,14,14,18,52,399
bodymassratio,motility_descending,1,7,7,10,52,66
