model,extinction_mechanism,n_rep,β_div,β_type
adbm,random,1,0.5,βS
adbm,random,1,0.9449541284403671,βWN
adbm,random,1,0.7333333333333334,βOS
adbm,generality_descending,1,0.3999999999999999,βS
adbm,generality_descending,1,0.8628571428571428,βWN
adbm,generality_descending,1,0.44186046511627897,βOS
adbm,vulnerability_descending,1,0.48275862068965525,βS
adbm,vulnerability_descending,1,0.8568019093078758,βWN
adbm,vulnerability_descending,1,0.4285714285714286,βOS
adbm,size_descending,1,0.5,βS
adbm,size_descending,1,0.8901098901098901,βWN
adbm,size_descending,1,0.41176470588235303,βOS
adbm,motility_descending,1,0.4347826086956521,βS
adbm,motility_descending,1,0.8745387453874538,βWN
adbm,motility_descending,1,0.423728813559322,βOS
adbm,tiering_descending,1,0.8500000000000001,βS
adbm,tiering_descending,1,1.0,βWN
adbm,tiering_descending,1,NaN,βOS
adbm,calcification_descending,1,0.6000000000000001,βS
adbm,calcification_descending,1,0.8942307692307692,βWN
adbm,calcification_descending,1,0.2142857142857142,βOS
adbm,generality_ascending,1,0.5686274509803921,βS
adbm,generality_ascending,1,0.8662420382165605,βWN
adbm,generality_ascending,1,0.32258064516129026,βOS
adbm,vulnerability_ascending,1,0.5,βS
adbm,vulnerability_ascending,1,0.8534031413612566,βWN
adbm,vulnerability_ascending,1,0.28205128205128216,βOS
adbm,size_ascending,1,0.46666666666666656,βS
adbm,size_ascending,1,0.8586723768736617,βWN
adbm,size_ascending,1,0.4453781512605042,βOS
adbm,motility_ascending,1,0.55,βS
adbm,motility_ascending,1,0.9684210526315788,βWN
adbm,motility_ascending,1,0.7142857142857142,βOS
adbm,tiering_ascending,1,0.30000000000000004,βS
adbm,tiering_ascending,1,0.7169811320754718,βWN
adbm,tiering_ascending,1,0.3999999999999999,βOS
adbm,calcification_ascending,1,0.5,βS
adbm,calcification_ascending,1,0.8439024390243903,βWN
adbm,calcification_ascending,1,0.33333333333333326,βOS
adbm,random,1,0.44999999999999996,βS
adbm,random,1,0.7889908256880733,βWN
adbm,random,1,0.31343283582089554,βOS
adbm,generality_descending,1,0.3999999999999999,βS
adbm,generality_descending,1,0.8628571428571428,βWN
adbm,generality_descending,1,0.44186046511627897,βOS
adbm,vulnerability_descending,1,0.48275862068965525,βS
adbm,vulnerability_descending,1,0.8568019093078758,βWN
adbm,vulnerability_descending,1,0.4285714285714286,βOS
adbm,size_descending,1,0.5,βS
adbm,size_descending,1,0.9005524861878453,βWN
adbm,size_descending,1,0.3571428571428572,βOS
adbm,motility_descending,1,0.55,βS
adbm,motility_descending,1,0.8812785388127853,βWN
adbm,motility_descending,1,0.21212121212121215,βOS
adbm,tiering_descending,1,0.7619047619047619,βS
adbm,tiering_descending,1,0.948051948051948,βWN
adbm,tiering_descending,1,0.0,βOS
adbm,calcification_descending,1,0.5,βS
adbm,calcification_descending,1,0.8538812785388128,βWN
adbm,calcification_descending,1,0.33333333333333326,βOS
adbm,generality_ascending,1,0.5686274509803921,βS
adbm,generality_ascending,1,0.8662420382165605,βWN
adbm,generality_ascending,1,0.32258064516129026,βOS
adbm,vulnerability_ascending,1,0.5,βS
adbm,vulnerability_ascending,1,0.8534031413612566,βWN
adbm,vulnerability_ascending,1,0.28205128205128216,βOS
adbm,size_ascending,1,0.39682539682539675,βS
adbm,size_ascending,1,0.8126126126126125,βWN
adbm,size_ascending,1,0.4157303370786516,βOS
adbm,motility_ascending,1,0.55,βS
adbm,motility_ascending,1,0.8971962616822431,βWN
adbm,motility_ascending,1,0.1200000000000001,βOS
adbm,tiering_ascending,1,0.25,βS
adbm,tiering_ascending,1,0.6221198156682028,βWN
adbm,tiering_ascending,1,0.3440000000000001,βOS
adbm,calcification_ascending,1,0.6000000000000001,βS
adbm,calcification_ascending,1,0.9019607843137254,βWN
adbm,calcification_ascending,1,0.35483870967741926,βOS
adbm,random,1,0.5,βS
adbm,random,1,0.8109452736318408,βWN
