model,extinction_mechanism,n_rep,β_div,β_type
bodymassratio,random,1,0.75,βS
bodymassratio,random,1,1.0,βWN
bodymassratio,random,1,1.0,βOS
bodymassratio,generality_descending,1,0.55,βS
bodymassratio,generality_descending,1,0.9712230215827338,βWN
bodymassratio,generality_descending,1,0.8620689655172413,βOS
bodymassratio,vulnerability_descending,1,0.44186046511627897,βS
bodymassratio,vulnerability_descending,1,0.9649122807017543,βWN
bodymassratio,vulnerability_descending,1,0.8400000000000001,βOS
bodymassratio,size_descending,1,0.4242424242424243,βS
bodymassratio,size_descending,1,0.9379157427937916,βWN
bodymassratio,size_descending,1,0.7113402061855669,βOS
bodymassratio,motility_descending,1,0.6000000000000001,βS
bodymassratio,motility_descending,1,0.9097744360902256,βWN
bodymassratio,motility_descending,1,0.4782608695652173,βOS
bodymassratio,tiering_descending,1,0.6727272727272726,βS
bodymassratio,tiering_descending,1,0.9783393501805053,βWN
bodymassratio,tiering_descending,1,0.6666666666666667,βOS
bodymassratio,calcification_descending,1,0.5909090909090908,βS
bodymassratio,calcification_descending,1,0.949685534591195,βWN
bodymassratio,calcification_descending,1,0.6363636363636365,βOS
bodymassratio,generality_ascending,1,0.5609756097560976,βS
bodymassratio,generality_ascending,1,0.9696969696969697,βWN
bodymassratio,generality_ascending,1,0.7333333333333334,βOS
bodymassratio,vulnerability_ascending,1,0.6499999999999999,βS
bodymassratio,vulnerability_ascending,1,0.9861111111111112,βWN
bodymassratio,vulnerability_ascending,1,0.8823529411764706,βOS
bodymassratio,size_ascending,1,0.6000000000000001,βS
bodymassratio,size_ascending,1,0.9720279720279721,βWN
bodymassratio,size_ascending,1,0.826086956521739,βOS
bodymassratio,motility_ascending,1,0.44999999999999996,βS
bodymassratio,motility_ascending,1,0.9090909090909092,βWN
bodymassratio,motility_ascending,1,0.6153846153846154,βOS
bodymassratio,tiering_ascending,1,0.3999999999999999,βS
bodymassratio,tiering_ascending,1,0.9439252336448598,βWN
bodymassratio,tiering_ascending,1,0.8378378378378379,βOS
bodymassratio,calcification_ascending,1,0.6000000000000001,βS
bodymassratio,calcification_ascending,1,0.9833333333333334,βWN
bodymassratio,calcification_ascending,1,0.8666666666666667,βOS
bodymassratio,random,1,0.44999999999999996,βS
bodymassratio,random,1,0.926605504587156,βWN
bodymassratio,random,1,0.6666666666666667,βOS
bodymassratio,generality_descending,1,0.55,βS
bodymassratio,generality_descending,1,0.9712230215827338,βWN
bodymassratio,generality_descending,1,0.8620689655172413,βOS
bodymassratio,vulnerability_descending,1,0.44186046511627897,βS
bodymassratio,vulnerability_descending,1,0.9649122807017543,βWN
bodymassratio,vulnerability_descending,1,0.8400000000000001,βOS
bodymassratio,size_descending,1,0.4242424242424243,βS
bodymassratio,size_descending,1,0.9379157427937916,βWN
bodymassratio,size_descending,1,0.7113402061855669,βOS
bodymassratio,motility_descending,1,0.44999999999999996,βS
bodymassratio,motility_descending,1,0.9464285714285714,βWN
bodymassratio,motility_descending,1,0.7692307692307692,βOS
bodymassratio,tiering_descending,1,0.6727272727272726,βS
bodymassratio,tiering_descending,1,0.9927536231884058,βWN
bodymassratio,tiering_descending,1,0.8888888888888888,βOS
bodymassratio,calcification_descending,1,0.55,βS
bodymassratio,calcification_descending,1,0.9344262295081966,βWN
bodymassratio,calcification_descending,1,0.6190476190476191,βOS
bodymassratio,generality_ascending,1,0.5609756097560976,βS
bodymassratio,generality_ascending,1,0.9696969696969697,βWN
bodymassratio,generality_ascending,1,0.7333333333333334,βOS
bodymassratio,vulnerability_ascending,1,0.6499999999999999,βS
bodymassratio,vulnerability_ascending,1,0.9861111111111112,βWN
bodymassratio,vulnerability_ascending,1,0.8823529411764706,βOS
bodymassratio,size_ascending,1,0.6499999999999999,βS
bodymassratio,size_ascending,1,0.9720279720279721,βWN
bodymassratio,size_ascending,1,0.7647058823529411,βOS
bodymassratio,motility_ascending,1,0.5,βS
bodymassratio,motility_ascending,1,0.9344262295081966,βWN
bodymassratio,motility_ascending,1,0.6799999999999999,βOS
bodymassratio,tiering_ascending,1,0.3999999999999999,βS
bodymassratio,tiering_ascending,1,0.9344262295081966,βWN
bodymassratio,tiering_ascending,1,0.7948717948717949,βOS
bodymassratio,calcification_ascending,1,0.75,βS
bodymassratio,calcification_ascending,1,1.0,βWN
bodymassratio,calcification_ascending,1,1.0,βOS
bodymassratio,random,1,0.55,βS
bodymassratio,random,1,0.9831932773109244,βWN
bodymassratio,random,1,0.8461538461538463,βOS
bodymassratio,generality_descending,1,0.55,βS
bodymassratio,generality_descending,1,0.9712230215827338,βWN
bodymassratio,generality_descending,1,0.8620689655172413,βOS
bodymassratio,vulnerability_descending,1,0.44186046511627897,βS
bodymassratio,vulnerability_descending,1,0.9649122807017543,βWN
bodymassratio,vulnerability_descending,1,0.8400000000000001,βOS
bodymassratio,size_descending,1,0.4545454545454546,βS
bodymassratio,size_descending,1,0.9379157427937916,βWN
bodymassratio,size_descending,1,0.6853932584269662,βOS
bodymassratio,motility_descending,1,0.5,βS
bodymassratio,motility_descending,1,0.8803418803418803,βWN
bodymassratio,motility_descending,1,0.5333333333333334,βOS
bodymassratio,tiering_descending,1,0.8095238095238095,βS
bodymassratio,tiering_descending,1,1.0,βWN
bodymassratio,tiering_descending,1,1.0,βOS
bodymassratio,calcification_descending,1,0.7,βS
bodymassratio,calcification_descending,1,0.96875,βWN
bodymassratio,calcification_descending,1,0.6923076923076923,βOS
bodymassratio,generality_ascending,1,0.5609756097560976,βS
bodymassratio,generality_ascending,1,0.9696969696969697,βWN
bodymassratio,generality_ascending,1,0.7333333333333334,βOS
bodymassratio,vulnerability_ascending,1,0.6499999999999999,βS
bodymassratio,vulnerability_ascending,1,0.9861111111111112,βWN
bodymassratio,vulnerability_ascending,1,0.8823529411764706,βOS
bodymassratio,size_ascending,1,0.55,βS
bodymassratio,size_ascending,1,0.9722222222222223,βWN
bodymassratio,size_ascending,1,0.8620689655172413,βOS
bodymassratio,motility_ascending,1,0.44999999999999996,βS
bodymassratio,motility_ascending,1,0.889763779527559,βWN
bodymassratio,motility_ascending,1,0.631578947368421,βOS
bodymassratio,tiering_ascending,1,0.30000000000000004,βS
bodymassratio,tiering_ascending,1,0.8867924528301887,βWN
bodymassratio,tiering_ascending,1,0.6923076923076923,βOS
bodymassratio,calcification_ascending,1,0.44186046511627897,βS
bodymassratio,calcification_ascending,1,0.8987341772151898,βWN
bodymassratio,calcification_ascending,1,0.627906976744186,βOS
bodymassratio,random,1,0.55,βS
bodymassratio,random,1,0.9834710743801653,βWN
bodymassratio,random,1,0.8888888888888888,βOS
bodymassratio,generality_descending,1,0.55,βS
bodymassratio,generality_descending,1,0.9712230215827338,βWN
bodymassratio,generality_descending,1,0.8620689655172413,βOS
bodymassratio,vulnerability_descending,1,0.44186046511627897,βS
bodymassratio,vulnerability_descending,1,0.9649122807017543,βWN
bodymassratio,vulnerability_descending,1,0.8400000000000001,βOS
bodymassratio,size_descending,1,0.4242424242424243,βS
bodymassratio,size_descending,1,0.9379157427937916,βWN
bodymassratio,size_descending,1,0.7113402061855669,βOS
bodymassratio,motility_descending,1,0.55,βS
bodymassratio,motility_descending,1,0.9359999999999999,βWN
bodymassratio,motility_descending,1,0.6363636363636365,βOS
bodymassratio,tiering_descending,1,0.72,βS
bodymassratio,tiering_descending,1,0.9829787234042553,βWN
bodymassratio,tiering_descending,1,0.5,βOS
bodymassratio,calcification_descending,1,0.55,βS
bodymassratio,calcification_descending,1,0.9333333333333333,βWN
bodymassratio,calcification_descending,1,0.6799999999999999,βOS
bodymassratio,generality_ascending,1,0.5609756097560976,βS
bodymassratio,generality_ascending,1,0.9696969696969697,βWN
bodymassratio,generality_ascending,1,0.7333333333333334,βOS
bodymassratio,vulnerability_ascending,1,0.6499999999999999,βS
bodymassratio,vulnerability_ascending,1,0.9861111111111112,βWN
bodymassratio,vulnerability_ascending,1,0.8823529411764706,βOS
bodymassratio,size_ascending,1,0.6499999999999999,βS
bodymassratio,size_ascending,1,0.9720279720279721,βWN
bodymassratio,size_ascending,1,0.7647058823529411,βOS
bodymassratio,motility_ascending,1,0.44999999999999996,βS
bodymassratio,motility_ascending,1,0.8938053097345133,βWN
bodymassratio,motility_ascending,1,0.5862068965517242,βOS
bodymassratio,tiering_ascending,1,0.25,βS
bodymassratio,tiering_ascending,1,0.8407079646017699,βWN
bodymassratio,tiering_ascending,1,0.7049180327868851,βOS
bodymassratio,calcification_ascending,1,0.7073170731707317,βS
bodymassratio,calcification_ascending,1,0.9854014598540146,βWN
bodymassratio,calcification_ascending,1,0.7777777777777777,βOS
bodymassratio,random,1,0.3999999999999999,βS
bodymassratio,random,1,0.8512396694214877,βWN
bodymassratio,random,1,0.5609756097560976,βOS
bodymassratio,generality_descending,1,0.55,βS
bodymassratio,generality_descending,1,0.9712230215827338,βWN
bodymassratio,generality_descending,1,0.8620689655172413,βOS
bodymassratio,vulnerability_descending,1,0.44186046511627897,βS
bodymassratio,vulnerability_descending,1,0.9649122807017543,βWN
bodymassratio,vulnerability_descending,1,0.8400000000000001,βOS
bodymassratio,size_descending,1,0.4545454545454546,βS
bodymassratio,size_descending,1,0.9379157427937916,βWN
bodymassratio,size_descending,1,0.6853932584269662,βOS
bodymassratio,motility_descending,1,0.5,βS
bodymassratio,motility_descending,1,0.8833333333333333,βWN
bodymassratio,motility_descending,1,0.5333333333333334,βOS
bodymassratio,tiering_descending,1,0.75,βS
