model,extinction_mechanism,n_rep,β_div,β_type
lmatrix,random,1,0.5,βS
lmatrix,random,1,0.9037433155080214,βWN
lmatrix,random,1,0.5909090909090908,βOS
lmatrix,generality_descending,1,0.44999999999999996,βS
lmatrix,generality_descending,1,0.8676470588235294,βWN
lmatrix,generality_descending,1,0.3571428571428572,βOS
lmatrix,vulnerability_descending,1,0.6326530612244898,βS
lmatrix,vulnerability_descending,1,0.9801980198019802,βWN
lmatrix,vulnerability_descending,1,0.8181818181818181,βOS
lmatrix,size_descending,1,0.5,βS
lmatrix,size_descending,1,0.8741258741258742,βWN
lmatrix,size_descending,1,0.4375,βOS
lmatrix,motility_descending,1,0.6000000000000001,βS
lmatrix,motility_descending,1,0.9751552795031055,βWN
lmatrix,motility_descending,1,0.6666666666666667,βOS
lmatrix,tiering_descending,1,0.8999999999999999,βS
lmatrix,tiering_descending,1,1.0,βWN
lmatrix,tiering_descending,1,NaN,βOS
lmatrix,calcification_descending,1,0.5,βS
lmatrix,calcification_descending,1,0.834319526627219,βWN
lmatrix,calcification_descending,1,0.26315789473684204,βOS
lmatrix,generality_ascending,1,0.6444444444444444,βS
lmatrix,generality_ascending,1,0.9587628865979381,βWN
lmatrix,generality_ascending,1,0.6363636363636365,βOS
lmatrix,vulnerability_ascending,1,0.6000000000000001,βS
lmatrix,vulnerability_ascending,1,0.9130434782608696,βWN
lmatrix,vulnerability_ascending,1,0.36363636363636354,βOS
lmatrix,size_ascending,1,0.6326530612244898,βS
lmatrix,size_ascending,1,0.9801980198019802,βWN
lmatrix,size_ascending,1,0.8181818181818181,βOS
lmatrix,motility_ascending,1,0.44999999999999996,βS
lmatrix,motility_ascending,1,0.8928571428571428,βWN
lmatrix,motility_ascending,1,0.4375,βOS
lmatrix,tiering_ascending,1,0.30000000000000004,βS
lmatrix,tiering_ascending,1,0.7458563535911602,βWN
lmatrix,tiering_ascending,1,0.47126436781609193,βOS
lmatrix,calcification_ascending,1,0.44999999999999996,βS
lmatrix,calcification_ascending,1,0.8285714285714285,βWN
lmatrix,calcification_ascending,1,0.4444444444444444,βOS
lmatrix,random,1,0.7,βS
lmatrix,random,1,0.9864864864864864,βWN
lmatrix,random,1,0.8333333333333333,βOS
lmatrix,generality_descending,1,0.44999999999999996,βS
