model,extinction_mechanism,n_rep,β_div,β_type
niche,random,1,0.7,βS
niche,random,1,0.9714285714285715,βWN
niche,random,1,0.75,βOS
niche,generality_descending,1,0.55,βS
niche,generality_descending,1,0.8888888888888888,βWN
niche,generality_descending,1,0.6470588235294117,βOS
niche,vulnerability_descending,1,0.5,βS
niche,vulnerability_descending,1,0.8873239436619718,βWN
niche,vulnerability_descending,1,0.6000000000000001,βOS
niche,size_descending,1,0.6499999999999999,βS
niche,size_descending,1,0.9710144927536233,βWN
niche,size_descending,1,0.75,βOS
niche,motility_descending,1,0.41463414634146334,βS
niche,motility_descending,1,0.9322033898305084,βWN
niche,motility_descending,1,0.8,βOS
niche,tiering_descending,1,0.8,βS
niche,tiering_descending,1,1.0,βWN
niche,tiering_descending,1,1.0,βOS
niche,calcification_descending,1,0.55,βS
niche,calcification_descending,1,0.9365079365079365,βWN
niche,calcification_descending,1,0.7777777777777777,βOS
niche,generality_ascending,1,0.5,βS
niche,generality_ascending,1,0.922077922077922,βWN
niche,generality_ascending,1,0.7,βOS
niche,vulnerability_ascending,1,0.75,βS
niche,vulnerability_ascending,1,0.948051948051948,βWN
niche,vulnerability_ascending,1,0.4285714285714286,βOS
niche,size_ascending,1,0.6097560975609757,βS
niche,size_ascending,1,0.9142857142857144,βWN
niche,size_ascending,1,0.6000000000000001,βOS
niche,motility_ascending,1,0.75,βS
niche,motility_ascending,1,0.9733333333333334,βWN
niche,motility_ascending,1,0.6666666666666667,βOS
niche,tiering_ascending,1,0.3999999999999999,βS
niche,tiering_ascending,1,0.8805970149253732,βWN
niche,tiering_ascending,1,0.6923076923076923,βOS
niche,calcification_ascending,1,0.5,βS
niche,calcification_ascending,1,0.9076923076923078,βWN
niche,calcification_ascending,1,0.6470588235294117,βOS
niche,random,1,0.55,βS
niche,random,1,0.9428571428571428,βWN
niche,random,1,0.7333333333333334,βOS
niche,generality_descending,1,0.55,βS
niche,generality_descending,1,0.8888888888888888,βWN
niche,generality_descending,1,0.6470588235294117,βOS
niche,vulnerability_descending,1,0.5,βS
niche,vulnerability_descending,1,0.8873239436619718,βWN
niche,vulnerability_descending,1,0.6000000000000001,βOS
niche,size_descending,1,0.6499999999999999,βS
niche,size_descending,1,0.9710144927536233,βWN
niche,size_descending,1,0.75,βOS
niche,motility_descending,1,0.5609756097560976,βS
niche,motility_descending,1,0.9411764705882353,βWN
niche,motility_descending,1,0.7333333333333334,βOS
niche,tiering_descending,1,0.8500000000000001,βS
niche,tiering_descending,1,1.0,βWN
niche,tiering_descending,1,1.0,βOS
niche,calcification_descending,1,0.6499999999999999,βS
niche,calcification_descending,1,0.9714285714285715,βWN
niche,calcification_descending,1,0.8181818181818181,βOS
niche,generality_ascending,1,0.5,βS
niche,generality_ascending,1,0.922077922077922,βWN
niche,generality_ascending,1,0.7,βOS
niche,vulnerability_ascending,1,0.75,βS
niche,vulnerability_ascending,1,0.948051948051948,βWN
niche,vulnerability_ascending,1,0.4285714285714286,βOS
niche,size_ascending,1,0.6000000000000001,βS
niche,size_ascending,1,0.9104477611940298,βWN
niche,size_ascending,1,0.6000000000000001,βOS
niche,motility_ascending,1,0.5121951219512195,βS
niche,motility_ascending,1,0.9365079365079365,βWN
niche,motility_ascending,1,0.7777777777777777,βOS
niche,tiering_ascending,1,0.3999999999999999,βS
niche,tiering_ascending,1,0.8805970149253732,βWN
niche,tiering_ascending,1,0.7142857142857142,βOS
niche,calcification_ascending,1,0.6097560975609757,βS
niche,calcification_ascending,1,0.9402985074626866,βWN
niche,calcification_ascending,1,0.5,βOS
niche,random,1,0.6000000000000001,βS
niche,random,1,0.922077922077922,βWN
niche,random,1,0.6470588235294117,βOS
niche,generality_descending,1,0.55,βS
niche,generality_descending,1,0.8888888888888888,βWN
niche,generality_descending,1,0.6470588235294117,βOS
niche,vulnerability_descending,1,0.5,βS
niche,vulnerability_descending,1,0.8873239436619718,βWN
niche,vulnerability_descending,1,0.6000000000000001,βOS
niche,size_descending,1,0.6000000000000001,βS
niche,size_descending,1,0.974025974025974,βWN
niche,size_descending,1,0.8461538461538463,βOS
niche,motility_descending,1,0.5609756097560976,βS
niche,motility_descending,1,0.974025974025974,βWN
niche,motility_descending,1,0.8571428571428572,βOS
niche,tiering_descending,1,0.8500000000000001,βS
niche,tiering_descending,1,1.0,βWN
niche,tiering_descending,1,1.0,βOS
niche,calcification_descending,1,0.6499999999999999,βS
niche,calcification_descending,1,1.0,βWN
niche,calcification_descending,1,1.0,βOS
niche,generality_ascending,1,0.5,βS
niche,generality_ascending,1,0.922077922077922,βWN
niche,generality_ascending,1,0.7,βOS
niche,vulnerability_ascending,1,0.75,βS
niche,vulnerability_ascending,1,0.948051948051948,βWN
niche,vulnerability_ascending,1,0.4285714285714286,βOS
niche,size_ascending,1,0.6097560975609757,βS
niche,size_ascending,1,0.9142857142857144,βWN
