model,extinction_mechanism,n_rep,β_div,β_type
random,random,1,0.5384615384615385,βS
random,random,1,0.7837837837837838,βWN
random,random,1,0.17948717948717952,βOS
random,generality_descending,1,0.4871794871794872,βS
random,generality_descending,1,0.6319999999999999,βWN
random,generality_descending,1,0.13207547169811318,βOS
random,vulnerability_descending,1,0.6595744680851063,βS
random,vulnerability_descending,1,0.9393939393939394,βWN
random,vulnerability_descending,1,0.33333333333333326,βOS
random,size_descending,1,0.4871794871794872,βS
random,size_descending,1,0.8392857142857142,βWN
random,size_descending,1,0.10000000000000009,βOS
random,motility_descending,1,0.33333333333333326,βS
random,motility_descending,1,0.6551724137931034,βWN
random,motility_descending,1,0.31506849315068486,βOS
random,tiering_descending,1,0.5666666666666667,βS
random,tiering_descending,1,0.8723404255319149,βWN
random,tiering_descending,1,0.11111111111111116,βOS
random,calcification_descending,1,0.7435897435897436,βS
random,calcification_descending,1,0.9090909090909092,βWN
random,calcification_descending,1,0.0,βOS
random,generality_ascending,1,0.641025641025641,βS
random,generality_ascending,1,0.934959349593496,βWN
random,generality_ascending,1,0.2727272727272727,βOS
random,vulnerability_ascending,1,0.4358974358974359,βS
random,vulnerability_ascending,1,0.6470588235294117,βWN
random,vulnerability_ascending,1,0.27472527472527464,βOS
random,size_ascending,1,0.6923076923076923,βS
random,size_ascending,1,0.8171428571428572,βWN
random,size_ascending,1,0.2727272727272727,βOS
random,motility_ascending,1,0.3846153846153846,βS
random,motility_ascending,1,0.6140350877192982,βWN
random,motility_ascending,1,0.06382978723404253,βOS
random,tiering_ascending,1,0.3846153846153846,βS
random,tiering_ascending,1,0.6084656084656084,βWN
random,tiering_ascending,1,0.27450980392156854,βOS
random,calcification_ascending,1,0.4871794871794872,βS
random,calcification_ascending,1,0.8407079646017699,βWN
random,calcification_ascending,1,0.33333333333333326,βOS
random,random,1,0.5384615384615385,βS
random,random,1,0.7820512820512822,βWN
random,random,1,0.2272727272727273,βOS
random,generality_descending,1,0.4871794871794872,βS
random,generality_descending,1,0.6319999999999999,βWN
random,generality_descending,1,0.13207547169811318,βOS
random,vulnerability_descending,1,0.6595744680851063,βS
random,vulnerability_descending,1,0.9393939393939394,βWN
random,vulnerability_descending,1,0.33333333333333326,βOS
random,size_descending,1,0.4871794871794872,βS
random,size_descending,1,0.8584070796460177,βWN
random,size_descending,1,0.1578947368421053,βOS
random,motility_descending,1,0.5897435897435896,βS
random,motility_descending,1,0.8911564625850341,βWN
random,motility_descending,1,0.4285714285714286,βOS
random,tiering_descending,1,0.6595744680851063,βS
random,tiering_descending,1,0.9393939393939394,βWN
random,tiering_descending,1,0.33333333333333326,βOS
random,calcification_descending,1,0.641025641025641,βS
random,calcification_descending,1,0.8545454545454545,βWN
random,calcification_descending,1,0.23809523809523814,βOS
random,generality_ascending,1,0.641025641025641,βS
random,generality_ascending,1,0.934959349593496,βWN
random,generality_ascending,1,0.2727272727272727,βOS
random,vulnerability_ascending,1,0.4358974358974359,βS
random,vulnerability_ascending,1,0.6470588235294117,βWN
random,vulnerability_ascending,1,0.27472527472527464,βOS
random,size_ascending,1,0.5897435897435896,βS
random,size_ascending,1,0.7610062893081762,βWN
random,size_ascending,1,0.2962962962962963,βOS
random,motility_ascending,1,0.6363636363636365,βS
random,motility_ascending,1,0.8796992481203008,βWN
random,motility_ascending,1,0.0,βOS
random,tiering_ascending,1,0.33333333333333326,βS
random,tiering_ascending,1,0.553191489361702,βWN
random,tiering_ascending,1,0.2566371681415929,βOS
random,calcification_ascending,1,0.4358974358974359,βS
random,calcification_ascending,1,0.5822784810126582,βWN
random,calcification_ascending,1,0.09589041095890405,βOS
random,random,1,0.641025641025641,βS
random,random,1,0.90625,βWN
random,random,1,0.33333333333333326,βOS
random,generality_descending,1,0.4871794871794872,βS
random,generality_descending,1,0.6319999999999999,βWN
random,generality_descending,1,0.13207547169811318,βOS
random,vulnerability_descending,1,0.6595744680851063,βS
random,vulnerability_descending,1,0.9393939393939394,βWN
random,vulnerability_descending,1,0.33333333333333326,βOS
random,size_descending,1,0.4358974358974359,βS
random,size_descending,1,0.8434782608695652,βWN
random,size_descending,1,0.18181818181818188,βOS
random,motility_descending,1,0.5121951219512195,βS
random,motility_descending,1,0.889763779527559,βWN
random,motility_descending,1,0.17647058823529416,βOS
random,tiering_descending,1,0.5666666666666667,βS
random,tiering_descending,1,0.894736842105263,βWN
random,tiering_descending,1,0.19999999999999996,βOS
random,calcification_descending,1,0.5897435897435896,βS
random,calcification_descending,1,0.7122302158273381,βWN
random,calcification_descending,1,0.09090909090909083,βOS
random,generality_ascending,1,0.641025641025641,βS
random,generality_ascending,1,0.934959349593496,βWN
random,generality_ascending,1,0.2727272727272727,βOS
random,vulnerability_ascending,1,0.4358974358974359,βS
random,vulnerability_ascending,1,0.6470588235294117,βWN
random,vulnerability_ascending,1,0.27472527472527464,βOS
random,size_ascending,1,0.7435897435897436,βS
random,size_ascending,1,0.9006211180124224,βWN
random,size_ascending,1,0.40740740740740744,βOS
random,motility_ascending,1,0.5384615384615385,βS
random,motility_ascending,1,0.8688524590163935,βWN
random,motility_ascending,1,0.33333333333333326,βOS
random,tiering_ascending,1,0.33333333333333326,βS
random,tiering_ascending,1,0.5359116022099448,βWN
random,tiering_ascending,1,0.28205128205128216,βOS
random,calcification_ascending,1,0.5384615384615385,βS
random,calcification_ascending,1,0.728,βWN
random,calcification_ascending,1,0.05555555555555558,βOS
random,random,1,0.6923076923076923,βS
random,random,1,0.835820895522388,βWN
random,random,1,0.24137931034482762,βOS
random,generality_descending,1,0.4871794871794872,βS
random,generality_descending,1,0.6319999999999999,βWN
random,generality_descending,1,0.13207547169811318,βOS
random,vulnerability_descending,1,0.6595744680851063,βS
random,vulnerability_descending,1,0.9393939393939394,βWN
random,vulnerability_descending,1,0.33333333333333326,βOS
random,size_descending,1,0.4871794871794872,βS
random,size_descending,1,0.8392857142857142,βWN
random,size_descending,1,0.10000000000000009,βOS
random,motility_descending,1,0.55,βS
random,motility_descending,1,0.7762237762237763,βWN
