model,extinction_mechanism,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,redundancy,S1,S2,S4,S5,robustness,r50,rep
adbm,random,20,29,0.0725,6,0.8654914554081624,3.0,1.0,14.0,1.050062654772261,3.1867323637065503,10.0,17.0,0.0,103.0,17.0,0.4999999999999999,0.5,1
adbm,generality_descending,20,19,0.0475,2,0.9253368243707148,2.0,1.0,18.0,0.22360679774997896,3.42552339450715,0.0,4.0,0.0,111.0,0.0,0.5101950354609928,0.5208333333333334,2
adbm,vulnerability_descending,20,21,0.0525,3,0.8216266101962969,3.0,1.0,17.0,0.3940344628262062,3.605186322654161,2.0,5.0,0.0,124.0,2.0,0.34083333333333343,0.125,3
adbm,size_descending,20,19,0.0475,1,0.819720319053763,2.0,1.0,18.0,0.22360679774997896,3.804083678309265,0.0,2.0,0.0,137.0,0.0,0.5101950354609928,0.5208333333333334,4
adbm,motility_descending,20,24,0.06,7,0.9653138874085558,3.0,1.0,13.0,1.1516578439248717,3.0881777968995174,5.0,11.0,0.0,93.0,15.0,0.5721153846153844,0.4791666666666667,5
adbm,calcification_descending,20,25,0.0625,4,0.8874823718656674,3.0,1.0,16.0,0.6386663736585051,3.0757968586675997,6.0,14.0,0.0,93.0,7.0,0.5198863636363638,0.5208333333333334,7
adbm,generality_ascending,20,33,0.0825,4,0.8704584210640669,3.0,1.0,16.0,0.812727700887249,3.842627938492642,14.0,27.0,0.0,151.0,17.0,0.5739583333333333,0.5208333333333334,8
adbm,vulnerability_ascending,20,37,0.0925,12,0.9302143926205908,3.0,1.0,8.0,2.3680993933621335,3.265046142980138,18.0,23.0,0.0,117.0,69.0,0.5101950354609928,0.5208333333333334,9
adbm,size_ascending,20,24,0.06,4,0.8571312488819774,3.0,1.0,16.0,0.6958523739384593,3.286335345030997,5.0,10.0,0.0,105.0,7.0,0.33333333333333315,0.16666666666666666,10
adbm,motility_ascending,20,24,0.06,7,0.9653138874085558,3.0,1.0,13.0,1.1516578439248717,3.0881777968995174,5.0,11.0,0.0,93.0,15.0,0.5721153846153844,0.4791666666666667,11
adbm,calcification_ascending,19,19,0.05263157894736842,3,0.87970268831447,3.0,1.0,16.0,0.3333333333333333,3.1269438398822866,1.0,6.0,0.0,88.0,1.0,0.5039893617021276,0.5208333333333334,13
bodymassratio,random,20,69,0.1725,12,0.8861869111114754,3.0,1.0,5.0,2.9642608025042527,3.859029057050218,50.0,59.0,29.0,197.0,139.0,0.5101950354609928,0.5208333333333334,14
