model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
adbm,random,1,20,0.28,2,0.7825852127320228,4.083333333333333,3.0,0.8036236407431852,0.9906924527737224,4.65,-0.7192982456140351,0.16447368421052633,0.5,1
adbm,generality_descending,1,20,0.1725,2,0.8145734016250659,3.2857142857142856,3.0,0.6747102065739001,1.470402829248426,2.5,0.7272727272727273,0.4317673378076063,0.5,2
adbm,vulnerability_descending,1,38,0.21675900277008311,2,0.7804617156984893,4.320933472657611,3.0,1.157770395145275,0.951117959968046,7.2631578947368425,-0.8858954041204438,-0.1405086051888004,0.5,3
adbm,size_descending,1,20,0.19,2,0.8054648723302567,3.375,3.0,0.6915228266650383,1.3676750576874332,2.85,0.5324675324675324,0.38276553106212424,0.5,4
adbm,motility_descending,1,26,0.2440828402366864,2,0.8093894807063386,4.4110227272727265,3.0,0.9995245885530433,0.975384833755902,5.384615384615385,-0.864406779661017,-0.019933554817275746,0.5,5
adbm,tiering_descending,1,20,0.2575,2,0.8315972409063339,4.23173363095238,3.0,0.8735592732667227,1.020256607697155,4.2,-0.7023255813953488,0.13565891472868216,0.5,6
adbm,calcification_descending,1,20,0.255,2,0.8000365903104486,4.19375,3.0,0.9894320075711036,0.9873847634832464,4.15,-0.7117903930131004,-0.0019646365422396855,0.5,7
adbm,generality_ascending,1,31,0.21644120707596254,2,0.7921552483772575,4.543732782369146,3.0,1.0334242440285386,1.1094399774703756,5.741935483870968,-0.8588807785888077,0.05566801619433198,0.5,8
adbm,vulnerability_ascending,1,20,0.2125,2,0.8462206966610343,3.708333333333333,3.0,0.9407893940879702,1.0819625086624565,3.3,-0.11627906976744186,0.10103092783505155,0.5,9
adbm,size_ascending,1,40,0.225625,2,0.7830502893762447,4.397379770766866,3.0,1.1183516994486244,0.9386852542770246,8.05,-0.9115250291036089,-0.12648136177547942,0.5,10
adbm,motility_ascending,1,20,0.21,2,0.8356754298796811,4.229861111111111,1.0,1.1183675211664756,1.0523928599106334,3.25,-0.6949152542372882,-0.05172413793103448,0.5,11
adbm,tiering_ascending,1,20,0.265,2,0.8176862675789593,4.131322751322751,3.0,0.870252910672652,0.9853625089973944,4.35,-0.7004405286343612,0.10734463276836158,0.5,12
adbm,calcification_ascending,1,20,0.2475,2,0.803490375059395,4.285034013605443,3.0,1.0185188846562698,0.9665796961849276,4.0,-0.788235294117647,-0.04395604395604396,0.5,13
adbm,random,1,20,0.28,2,0.801957793197656,4.4778787878787885,3.0,0.9149521772057689,0.9186134650515453,4.65,-0.861003861003861,0.003745318352059925,0.5,14
adbm,generality_descending,1,20,0.1725,2,0.8145734016250659,3.2857142857142856,3.0,0.6747102065739001,1.470402829248426,2.5,0.7272727272727273,0.4317673378076063,0.5,15
adbm,vulnerability_descending,1,38,0.21675900277008311,2,0.7804617156984893,4.320933472657611,3.0,1.157770395145275,0.951117959968046,7.2631578947368425,-0.8858954041204438,-0.1405086051888004,0.5,16
adbm,size_descending,1,20,0.1875,2,0.8084018518274475,3.375,3.0,0.6968601259131701,1.3730914452282719,2.8,0.5324675324675324,0.3839835728952772,0.5,17
adbm,motility_descending,1,20,0.2825,2,0.8050348064246112,4.114795918367347,3.0,0.8247323830391217,0.9613508843674435,4.7,-0.7481481481481481,0.13703703703703704,0.5,18
adbm,tiering_descending,1,22,0.25826446280991733,2,0.8094999369325199,4.210896164021164,1.0,0.8208297776089291,1.0607196119795728,4.7272727272727275,-0.7303370786516854,0.208731241473397,0.5,19
adbm,calcification_descending,1,20,0.2825,2,0.8148209591122526,4.175013628346962,3.0,0.9011558646605664,0.8770489815620567,4.7,-0.7584905660377359,-0.02411873840445269,0.5000000000000001,20
adbm,generality_ascending,1,31,0.21644120707596254,2,0.7921552483772575,4.543732782369146,3.0,1.0334242440285386,1.1094399774703756,5.741935483870968,-0.8588807785888077,0.05566801619433198,0.5,21
adbm,vulnerability_ascending,1,20,0.2125,2,0.8462206966610343,3.708333333333333,3.0,0.9407893940879702,1.0819625086624565,3.3,-0.11627906976744186,0.10103092783505155,0.5,22
adbm,size_ascending,1,43,0.24283396430502974,2,0.7825454155805143,4.535580469012375,3.0,1.034058216369009,0.9367746086963001,9.465116279069768,-0.9410496046010065,-0.07320326830081708,0.5,23
adbm,motility_ascending,1,20,0.27,2,0.8311449676069704,4.23058712121212,3.0,0.9159304543540396,0.9198631922965799,4.45,-0.7310924369747899,0.0037735849056603774,0.5,24
adbm,tiering_ascending,1,20,0.2775,2,0.8155273565347362,4.1692307692307695,3.0,0.7194749783898144,1.062709394601373,4.6,-0.7424242424242424,0.3396584440227704,0.5,25
adbm,calcification_ascending,1,20,0.245,2,0.8207899272672169,4.361904761904762,3.0,0.8655918300996716,1.085769201424868,3.95,-0.791907514450867,0.19140625,0.5,26
adbm,random,1,20,0.2375,2,0.8527676030130026,4.100000000000001,1.0,0.860938976169709,1.128304868538117,3.8,-0.6363636363636364,0.23651452282157676,0.5,27
