model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
lmatrix,random,1,20,0.24,2,0.8257658367487958,3.773469387755102,3.0,0.9108668193391938,0.9762344112614523,3.85,-0.38271604938271603,0.05084745762711865,0.5,1
lmatrix,generality_descending,1,20,0.1125,2,0.8626636137441056,3.0,3.0,0.7191793749540683,1.771186611934213,1.3,1.0,0.5431034482758621,0.5,2
lmatrix,vulnerability_descending,1,29,0.13198573127229488,2,0.8169520681965248,3.944444444444443,3.0,1.3896211271396328,1.4174115095602144,2.8620689655172415,-0.509090909090909,0.016736401673640166,0.5,3
lmatrix,size_descending,1,20,0.13,2,0.8408968891957713,3.0,3.0,0.7211707150523679,1.6431961017597285,1.65,1.0,0.4827586206896552,0.5,4
lmatrix,motility_descending,1,20,0.175,2,0.8406585616470206,3.8809523809523805,3.0,1.0343197767830161,1.3449192294036705,2.55,-0.3191489361702128,0.22279792746113988,0.5,5
lmatrix,tiering_descending,1,20,0.1425,2,0.8547124219048998,3.8181818181818183,1.0,1.0135880057403823,1.6150584896319908,1.9,-0.07462686567164178,0.3885350318471338,0.5,6
lmatrix,calcification_descending,1,20,0.195,2,0.8563216132972118,4.111764705882351,3.0,1.2308254598041768,1.109587522483408,2.95,-0.5692307692307692,-0.09785202863961814,0.5,7
lmatrix,generality_ascending,1,25,0.1648,2,0.8220293691924595,4.000000000000002,3.0,1.077115808455833,1.3410422979787435,3.16,-0.5700934579439252,0.17195767195767195,0.5000000000000001,8
lmatrix,vulnerability_ascending,1,20,0.175,2,0.8472421461274442,3.454545454545454,3.0,1.0217821040216053,1.1143049930855857,2.55,0.4492753623188406,0.05707196029776675,0.5,9
lmatrix,size_ascending,1,29,0.13198573127229488,2,0.8169520681965248,3.944444444444443,3.0,1.3896211271396328,1.4174115095602144,2.8620689655172415,-0.509090909090909,0.016736401673640166,0.5,10
lmatrix,motility_ascending,1,20,0.1925,2,0.8565259578739053,4.0,3.0,1.2249025056590193,1.1028703368132802,2.9,-0.48717948717948717,-0.09345794392523364,0.5,11
lmatrix,tiering_ascending,1,20,0.225,2,0.8144221071466127,3.7833333333333337,3.0,0.8204659605752319,1.1547005383792517,3.55,-0.37681159420289856,0.24853228962818003,0.5,12
lmatrix,calcification_ascending,1,20,0.21,2,0.8264810377528945,3.952380952380953,3.0,0.9697661336529486,1.1705092466134923,3.25,-0.4883720930232558,0.15517241379310345,0.5,13
lmatrix,random,1,20,0.1425,2,0.8437808742130405,3.9230769230769234,1.0,1.206243175336699,1.4723425277956526,1.9,-0.35714285714285715,0.1779935275080906,0.5,14
lmatrix,generality_descending,1,20,0.1125,2,0.8626636137441056,3.0,3.0,0.7191793749540683,1.771186611934213,1.3,1.0,0.5431034482758621,0.5,15
lmatrix,vulnerability_descending,1,29,0.13198573127229488,2,0.8169520681965248,3.944444444444443,3.0,1.3896211271396328,1.4174115095602144,2.8620689655172415,-0.509090909090909,0.016736401673640166,0.5,16
lmatrix,size_descending,1,20,0.12,2,0.855469857131971,3.0,3.0,0.7575159466022647,1.6743245124823969,1.45,1.0,0.48412698412698413,0.5,17
lmatrix,motility_descending,1,20,0.2175,2,0.8292189613471879,3.9642857142857144,3.0,1.0475746160672863,1.036899777706637,3.4,-0.5121951219512195,-0.008064516129032258,0.5,18
