model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
niche,random,1,20,0.0875,3,0.9276323441532138,4.0,1.0,0.7150371986748114,1.1707131503249275,0.8,0.8787878787878788,0.4084507042253521,0.5,1
niche,generality_descending,1,20,0.0475,3,0.923108059514832,4.0,1.0,0.23537557657892522,2.867029320050538,0.0,1.0,1.0,0.49999999999999994,2
niche,vulnerability_descending,1,20,0.09,3,0.9474074135475911,3.625,3.0,0.8756321396137913,0.8756321396137915,0.85,0.8918918918918919,0.15254237288135594,0.5,3
niche,size_descending,1,20,0.085,3,0.9491734410481774,4.0,3.0,0.6638683454668644,1.1144650809611951,0.75,1.0,0.3939393939393939,0.5,4
niche,motility_descending,1,21,0.05442176870748299,4,0.9667986073577329,5.0,1.0,0.6361505324999736,1.4716062652761437,0.19047619047619047,1.0,0.6216216216216216,0.49905482041587895,5
niche,tiering_descending,1,20,0.11,3,0.9282626796120906,4.333333333333332,1.0,0.8157859658401619,0.8921873458602136,1.25,0.8490566037735849,0.05357142857142857,0.5,6
niche,calcification_descending,1,20,0.07,3,0.9470022060321344,4.0,1.0,1.2985987656038827,1.1447352988371884,0.45,0.9047619047619048,0.017543859649122806,0.49999999999999994,7
niche,generality_ascending,1,20,0.105,3,0.944685578264896,4.166666666666666,3.0,0.7552971624178859,0.8995364203698407,1.15,0.875,0.23809523809523808,0.5,8
niche,vulnerability_ascending,1,20,0.105,3,0.9557658186172423,4.05,1.0,0.8305539040689343,1.023649226828733,1.15,1.0,0.15517241379310345,0.5,9
niche,size_ascending,1,21,0.07936507936507936,3,0.9519106807848965,4.0,1.0,1.2345039489608771,1.0788883167408942,0.7142857142857143,0.9310344827586207,0.023809523809523808,0.4999999999999999,10
niche,motility_ascending,1,20,0.1,3,0.9261852092532034,4.0,1.0,0.7071067811865476,1.1121340320587074,1.05,0.9534883720930233,0.3069306930693069,0.499054820415879,11
niche,tiering_ascending,1,20,0.08,2,0.9391473022161785,3.333333333333333,1.0,1.080630907338272,1.080630907338272,0.65,0.9,0.14285714285714285,0.5000000000000001,12
niche,calcification_ascending,1,20,0.075,3,0.9452484341511367,3.583333333333333,1.0,0.6666666666666666,1.2330725186530231,0.55,0.8333333333333334,0.45098039215686275,0.5,13
niche,random,1,20,0.0875,4,0.9395899513962505,3.555555555555555,1.0,0.847058472511739,1.1409758952560378,0.8,0.7837837837837838,0.25,0.5,14
niche,generality_descending,1,20,0.0475,3,0.923108059514832,4.0,1.0,0.23537557657892522,2.867029320050538,0.0,1.0,1.0,0.49999999999999994,15
niche,vulnerability_descending,1,20,0.09,3,0.9474074135475911,3.625,3.0,0.8756321396137913,0.8756321396137915,0.85,0.8918918918918919,0.15254237288135594,0.5,16
niche,size_descending,1,20,0.085,3,0.9480914013395891,4.0,3.0,0.6907564101322351,1.1144650809611951,0.75,1.0,0.373134328358209,0.5,17
niche,motility_descending,1,21,0.07482993197278912,4,0.9369324766255265,4.0,1.0,0.6845400217096982,1.3732990982386686,0.6190476190476191,0.9310344827586207,0.4794520547945205,0.49905482041587906,18
niche,tiering_descending,1,20,0.1,3,0.9468245530937974,4.333333333333333,1.0,0.7254762501100116,0.9459053029269173,1.05,0.9591836734693877,0.19101123595505617,0.5000000000000001,19
niche,calcification_descending,1,20,0.0875,2,0.9184551045598254,3.5,1.0,1.0948566405574376,1.1997135354459063,0.8,1.0,0.15789473684210525,0.5,20
niche,generality_ascending,1,20,0.105,3,0.944685578264896,4.166666666666666,3.0,0.7552971624178859,0.8995364203698407,1.15,0.875,0.23809523809523808,0.5,21
niche,vulnerability_ascending,1,20,0.105,3,0.9557658186172423,4.05,1.0,0.8305539040689343,1.023649226828733,1.15,1.0,0.15517241379310345,0.5,22
