model,extinction_mechanism,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI,resilience,rep
random,random,1,20,0.185,2,0.786762083786762,2.5,1.0,0.43931227074986434,1.8100569543954677,2.75,-1.0,0.8333333333333334,0.5000000000000001,1
random,generality_descending,1,20,0.1275,2,0.740515312765141,2.75,1.0,0.2977077076534307,2.445628832527746,1.6,-1.0,0.9927536231884058,0.5000000000000001,2
random,vulnerability_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.49999999999999994,3
random,size_descending,1,20,0.095,2,0.8299035163961687,3.2499999999999996,1.0,0.47995237164683763,2.6939966088567853,0.95,-1.0,0.9360730593607306,0.5000000000000001,4
random,motility_descending,1,20,0.1775,2,0.7008739954627897,3.2000000000000006,1.0,0.3095894776331182,2.005380165703179,2.6,-1.0,0.9761904761904762,0.5000000000000001,5
random,tiering_descending,1,41,0.0678167757287329,2,0.82076681825494,2.4285714285714284,1.0,0.6848091173744334,2.9201562030006296,1.8048780487804879,-0.9508196721311475,0.9251753702260327,0.5,6
random,calcification_descending,1,20,0.09,1,0.8484515953044144,2.083333333333333,1.0,0.42653994219439684,2.836227165692587,0.85,-1.0,1.0,0.5000000000000001,7
random,generality_ascending,1,20,0.1225,1,0.7950591944384476,2.083333333333333,1.0,0.20833379001389402,2.583064054252529,1.5,-1.0,1.0,0.5,8
random,vulnerability_ascending,1,20,0.2825,2,0.7808201287500534,4.592997368953652,1.0,0.46394146526077384,1.313574601880281,4.7,-0.9649122807017544,0.8293515358361775,0.5000000000000001,9
random,size_ascending,1,20,0.2525,3,0.7121490281687746,3.365079365079365,1.0,0.2527331137745869,1.6144511178063752,4.1,-1.0,1.0,0.5,10
random,motility_ascending,1,20,0.1,2,0.6022854714747001,2.333333333333333,1.0,0.16222142113076254,2.9956108242771315,1.05,-1.0,1.0,0.5000000000000001,11
random,tiering_ascending,1,20,0.2875,2,0.6985279683162772,3.971938775510203,1.0,0.2925126074375249,1.4428384896354185,4.8,-1.0,1.0,0.5000000000000001,12
random,calcification_ascending,1,20,0.0975,2,0.8224558002305311,2.4,1.0,0.53849366911398,2.6121013500148837,1.0,-1.0,0.9597989949748744,0.5000000000000001,13
random,random,1,20,0.205,2,0.7646946023739349,3.2813852813852815,1.0,0.37867975006675125,1.7389333768023074,3.15,-1.0,0.943502824858757,0.5000000000000001,14
random,generality_descending,1,20,0.1275,2,0.740515312765141,2.75,1.0,0.2977077076534307,2.445628832527746,1.6,-1.0,0.9927536231884058,0.5000000000000001,15
random,vulnerability_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.49999999999999994,16
random,size_descending,1,20,0.0975,2,0.8572507072512116,3.4,1.0,0.5384936691139799,2.61739490362561,1.0,-1.0,0.9178082191780822,0.5,17
random,motility_descending,1,20,0.1825,2,0.7597037673736795,3.05,1.0,0.35859632256178947,1.9028669185218505,2.7,-1.0,0.987460815047022,0.5000000000000001,18
random,tiering_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.5,19
random,calcification_descending,1,20,0.09,2,0.7012897693653998,2.0,1.0,0.22799518935225646,3.098973818289813,0.85,NaN,1.0,0.5000000000000001,20
random,generality_ascending,1,20,0.1225,1,0.7950591944384476,2.083333333333333,1.0,0.20833379001389402,2.583064054252529,1.5,-1.0,1.0,0.5,21
random,vulnerability_ascending,1,20,0.2825,2,0.7808201287500534,4.592997368953652,1.0,0.46394146526077384,1.313574601880281,4.7,-0.9649122807017544,0.8293515358361775,0.5000000000000001,22
random,size_ascending,1,20,0.2125,3,0.6611019261468534,3.266666666666667,1.0,0.29442708180727534,1.8014745371789662,3.3,-1.0,1.0,0.5000000000000001,23
random,motility_ascending,1,25,0.0944,1,0.8094504484521114,2.175,1.0,0.5314940034527339,2.617418761471024,1.4,-1.0,1.0,0.5000000000000001,24
random,tiering_ascending,1,20,0.285,2,0.6854676614092073,3.971938775510203,1.0,0.30705051926856863,1.4412065595805967,4.75,-1.0,1.0,0.5000000000000001,25
random,calcification_ascending,1,20,0.21,3,0.7531405705449318,3.0543259557344062,1.0,0.34199278402838473,1.7421160619528877,3.25,-1.0,0.9443037974683545,0.5000000000000001,26
random,random,1,20,0.135,3,0.8150466881540899,2.88,1.0,0.5112269270144403,2.139796901007473,1.75,-0.9354838709677419,0.8754325259515571,0.5000000000000001,27
random,generality_descending,1,20,0.1275,2,0.740515312765141,2.75,1.0,0.2977077076534307,2.445628832527746,1.6,-1.0,0.9927536231884058,0.5000000000000001,28
random,vulnerability_descending,1,28,0.07397959183673469,2,0.8030365026550015,2.3125,1.0,0.4140059052640643,3.144947455760357,1.1071428571428572,-1.0,0.9918533604887984,0.49999999999999994,29
random,size_descending,1,20,0.1025,2,0.8288786331287634,3.4,1.0,0.5589907397901778,2.504762363380991,1.1,-1.0,0.8938053097345132,0.5,30
random,motility_descending,1,22,0.10950413223140495,2,0.8134269782197819,2.5200000000000005,1.0,0.5679810904543681,2.367819823503105,1.4545454545454546,-1.0,0.9175257731958762,0.5000000000000001,31
random,tiering_descending,1,41,0.06900654372397383,2,0.8200761406974241,3.7448979591836737,1.0,0.6654898824106669,2.9123606456483113,1.853658536585366,-0.9240506329113924,0.923138510808647,0.5,32
random,calcification_descending,1,20,0.1625,2,0.6743750384057016,2.75,1.0,0.24196846635601515,2.161640033921094,2.3,-1.0,0.9193954659949622,0.5000000000000001,33
random,generality_ascending,1,20,0.1225,1,0.7950591944384476,2.083333333333333,1.0,0.20833379001389402,2.583064054252529,1.5,-1.0,1.0,0.5,34
random,vulnerability_ascending,1,20,0.2825,2,0.7808201287500534,4.592997368953652,1.0,0.46394146526077384,1.313574601880281,4.7,-0.9649122807017544,0.8293515358361775,0.5000000000000001,35
