model,extinction_mechanism,n_rep,tss
adbm,random,1,-0.07593984962406015
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.0038940326021665735
adbm,motility_descending,1,-0.0026433646496279084
adbm,tiering_descending,1,-0.08345864661654136
adbm,calcification_descending,1,-0.013048456073004007
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.11783579828692611
adbm,motility_ascending,1,-0.06291497975708502
adbm,tiering_ascending,1,0.2246897732135216
adbm,calcification_ascending,1,0.08554443961142526
adbm,random,1,0.076099339257234
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.0027133950578926654
adbm,motility_descending,1,0.0032658569500674762
adbm,tiering_descending,1,-0.046365914786967416
adbm,calcification_descending,1,0.043880362062180246
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.2483957145611281
adbm,motility_ascending,1,-0.018893387314439947
adbm,tiering_ascending,1,0.21754385964912282
adbm,calcification_ascending,1,-0.004411219988551032
adbm,random,1,0.0914476273327948
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.007432703897147449
adbm,motility_descending,1,-0.08342780026990554
adbm,tiering_descending,1,-0.08195488721804511
adbm,calcification_descending,1,0.01978407557354926
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.19025585942879175
adbm,motility_ascending,1,0.0673274094326726
adbm,tiering_ascending,1,0.02812374447569305
adbm,calcification_ascending,1,-0.09117082533589252
adbm,random,1,-0.041206752254172786
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.012521762421320477
adbm,motility_descending,1,0.015203297499948218
adbm,tiering_descending,1,-0.07061226417321904
adbm,calcification_descending,1,0.09769257855382257
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.31502707818497294
adbm,motility_ascending,1,0.006342780026990553
adbm,tiering_ascending,1,0.10531552762503273
adbm,calcification_ascending,1,-0.0773310435397515
adbm,random,1,0.022826296510507035
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.005074670146440481
adbm,motility_descending,1,0.08723254417034321
adbm,tiering_descending,1,-0.06666666666666667
adbm,calcification_descending,1,-0.0551344608145025
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.107834074758796
adbm,motility_ascending,1,-0.04844804318488529
adbm,tiering_ascending,1,0.10531552762503273
adbm,calcification_ascending,1,-0.01940620782726046
adbm,random,1,0.07104299209562367
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.012521762421320477
adbm,motility_descending,1,0.03485637169847696
adbm,tiering_descending,1,-0.06666666666666667
adbm,calcification_descending,1,-0.06101626426911809
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.19025585942879175
adbm,motility_ascending,1,0.054707379134860054
adbm,tiering_ascending,1,0.24221140038708872
adbm,calcification_ascending,1,0.0619316887259471
adbm,random,1,-0.04466114524890907
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.005074670146440481
adbm,motility_descending,1,-0.040297023550612064
adbm,tiering_descending,1,-0.06965174129353234
adbm,calcification_descending,1,-0.029770580296896085
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.31502707818497294
adbm,motility_ascending,1,-0.02874493927125506
adbm,tiering_ascending,1,0.26499786050492086
adbm,calcification_ascending,1,-0.04740697898592636
adbm,random,1,0.024912280701754386
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.008704968528190705
adbm,motility_descending,1,0.0018745210132769942
adbm,tiering_descending,1,-0.07593984962406015
adbm,calcification_descending,1,-0.045371120107962216
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.107834074758796
adbm,motility_ascending,1,-0.06906882591093118
adbm,tiering_ascending,1,0.24137208693375228
adbm,calcification_ascending,1,-0.015596684017736649
adbm,random,1,-0.04081357239251976
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,-0.007239172310942646
adbm,motility_descending,1,2.0712939373226453e-5
adbm,tiering_descending,1,-0.08137942433472645
adbm,calcification_descending,1,0.07339630066902794
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.31502707818497294
adbm,motility_ascending,1,-0.019799498746867168
adbm,tiering_ascending,1,0.18313694684472376
adbm,calcification_ascending,1,-0.03731016601003468
adbm,random,1,-0.0009446693657219973
adbm,generality_descending,1,0.012521762421320477
adbm,vulnerability_descending,1,0.107834074758796
adbm,size_descending,1,0.012521762421320477
adbm,motility_descending,1,-0.0868517447464816
adbm,tiering_descending,1,-0.05012531328320802
adbm,calcification_descending,1,0.07208405629458262
adbm,generality_ascending,1,0.064874214892688
adbm,vulnerability_ascending,1,0.026122999807210334
adbm,size_ascending,1,0.107834074758796
adbm,motility_ascending,1,-0.0560863697705803
adbm,tiering_ascending,1,0.10848389630793401
adbm,calcification_ascending,1,-0.04172739541160594
bodymassratio,random,1,0.017336485421591805
bodymassratio,generality_descending,1,0.0473886234635959
bodymassratio,vulnerability_descending,1,-0.04052950288691733
bodymassratio,size_descending,1,0.06039446282004165
bodymassratio,motility_descending,1,-0.030217648740250725
bodymassratio,tiering_descending,1,-0.03953646898432175
bodymassratio,calcification_descending,1,-0.04269854824935952
bodymassratio,generality_ascending,1,-0.04782237403928266
bodymassratio,vulnerability_ascending,1,0.0038314176245210726
bodymassratio,size_ascending,1,-0.04910738076205702
bodymassratio,motility_ascending,1,0.08971374903017681
bodymassratio,tiering_ascending,1,0.03713850837138508
bodymassratio,calcification_ascending,1,-0.04428341384863124
bodymassratio,random,1,0.017620155988402955
bodymassratio,generality_descending,1,0.0473886234635959
bodymassratio,vulnerability_descending,1,-0.04052950288691733
bodymassratio,size_descending,1,0.0591016548463357
bodymassratio,motility_descending,1,-0.0145475372279496
