model,extinction_mechanism,n_rep,tss_link,tss_node
bodymassratio,random,1,0.0,-0.2857142857142857
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.1798455804046859,-0.014285714285714346
bodymassratio,motility_descending,1,0.4322469982847341,-0.02857142857142858
bodymassratio,tiering_descending,1,0.25,-0.47857142857142854
bodymassratio,calcification_descending,1,0.26363636363636367,-0.08571428571428563
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,0.004040404040404066,-0.02857142857142858
bodymassratio,motility_ascending,1,0.2767295597484276,0.22857142857142865
bodymassratio,tiering_ascending,1,0.04261232051875874,0.3142857142857143
bodymassratio,calcification_ascending,1,0.020050125313283207,-0.02857142857142858
bodymassratio,random,1,0.2599388379204892,0.22857142857142865
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.1798455804046859,-0.014285714285714346
bodymassratio,motility_descending,1,0.12452830188679243,0.22857142857142865
bodymassratio,tiering_descending,1,0.0,-0.47857142857142854
bodymassratio,calcification_descending,1,0.2779220779220779,0.05714285714285716
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,0.12403100775193798,-0.11428571428571432
bodymassratio,motility_ascending,1,0.196078431372549,0.1428571428571428
bodymassratio,tiering_ascending,1,0.09356183418249198,0.3142857142857143
bodymassratio,calcification_ascending,1,-0.13636363636363635,-0.2857142857142857
bodymassratio,random,1,0.08666666666666667,0.05714285714285716
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.20746753246753236,-0.09999999999999998
bodymassratio,motility_descending,1,0.3541666666666665,0.1428571428571428
bodymassratio,tiering_descending,1,0.0,-0.44285714285714284
bodymassratio,calcification_descending,1,0.16666666666666674,-0.19999999999999996
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,motility_ascending,1,0.25077399380804954,0.22857142857142865
bodymassratio,tiering_ascending,1,0.21714285714285708,0.48571428571428577
bodymassratio,calcification_ascending,1,0.24865253323751357,0.20714285714285707
bodymassratio,random,1,0.0051948051948051965,0.05714285714285716
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.1798455804046859,-0.014285714285714346
bodymassratio,motility_descending,1,0.22601279317697243,0.05714285714285716
bodymassratio,tiering_descending,1,0.33333333333333326,-0.4714285714285714
bodymassratio,calcification_descending,1,0.19004524886877827,0.05714285714285716
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,0.12403100775193798,-0.11428571428571432
bodymassratio,motility_ascending,1,0.30833333333333335,0.22857142857142865
bodymassratio,tiering_ascending,1,0.18717948717948718,0.5714285714285714
bodymassratio,calcification_ascending,1,0.10322580645161294,-0.23571428571428577
bodymassratio,random,1,0.35322580645161294,0.3142857142857143
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.20746753246753236,-0.09999999999999998
bodymassratio,motility_descending,1,0.37254901960784315,0.1428571428571428
bodymassratio,tiering_descending,1,0.19999999999999996,-0.48571428571428577
bodymassratio,calcification_descending,1,0.30226325193567605,0.2928571428571429
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,-0.1071428571428571,-0.02857142857142858
bodymassratio,motility_ascending,1,0.20740740740740748,-0.02857142857142858
bodymassratio,tiering_ascending,1,0.09052631578947379,0.3999999999999999
bodymassratio,calcification_ascending,1,-0.050000000000000044,-0.02857142857142858
bodymassratio,random,1,0.1725490196078432,0.0714285714285714
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.1798455804046859,-0.014285714285714346
bodymassratio,motility_descending,1,0.3106312292358804,0.1428571428571428
bodymassratio,tiering_descending,1,0.1870967741935483,-0.3285714285714286
bodymassratio,calcification_descending,1,0.40625,-0.19999999999999996
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,0.004040404040404066,-0.02857142857142858
bodymassratio,motility_ascending,1,0.4649321266968327,0.05714285714285716
bodymassratio,tiering_ascending,1,0.12523191094619657,0.3999999999999999
bodymassratio,calcification_ascending,1,0.19225634178905215,0.22857142857142865
bodymassratio,random,1,0.2512820512820513,0.2857142857142856
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.20746753246753236,-0.09999999999999998
bodymassratio,motility_descending,1,0.31564986737400536,0.1428571428571428
bodymassratio,tiering_descending,1,0.4285714285714286,-0.44285714285714284
bodymassratio,calcification_descending,1,0.29156626506024086,0.021428571428571352
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,0.12403100775193798,-0.11428571428571432
bodymassratio,motility_ascending,1,0.3925729442970822,0.1428571428571428
bodymassratio,tiering_ascending,1,0.17828282828282838,0.6214285714285714
bodymassratio,calcification_ascending,1,0.05915492957746471,0.05714285714285716
bodymassratio,random,1,-0.11702127659574468,0.1428571428571428
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.20746753246753236,-0.09999999999999998
bodymassratio,motility_descending,1,0.34444444444444455,-0.02857142857142858
bodymassratio,tiering_descending,1,0.20342771982116248,-0.4
bodymassratio,calcification_descending,1,0.22723253757736517,0.1428571428571428
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,0.004040404040404066,-0.02857142857142858
bodymassratio,motility_ascending,1,0.3756449948400413,0.22857142857142865
bodymassratio,tiering_ascending,1,0.19190423300012327,0.657142857142857
bodymassratio,calcification_ascending,1,0.29761904761904767,0.09285714285714275
bodymassratio,random,1,-0.04347826086956519,0.1428571428571428
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.1798455804046859,-0.014285714285714346
bodymassratio,motility_descending,1,0.23548387096774182,0.3142857142857143
bodymassratio,tiering_descending,1,0.22298850574712636,-0.3142857142857143
bodymassratio,calcification_descending,1,0.32971014492753614,0.05714285714285716
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,-0.1071428571428571,-0.02857142857142858
bodymassratio,motility_ascending,1,0.26388888888888884,0.05714285714285716
bodymassratio,tiering_ascending,1,0.14542483660130712,0.3642857142857143
bodymassratio,calcification_ascending,1,0.05616605616605619,0.1428571428571428
bodymassratio,random,1,0.24499332443257682,-0.09285714285714275
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.20746753246753236,-0.09999999999999998
bodymassratio,motility_descending,1,0.2410714285714286,0.1428571428571428
bodymassratio,tiering_descending,1,0.0,-0.6
bodymassratio,calcification_descending,1,0.2678571428571428,-0.02857142857142858
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,0.12403100775193798,-0.11428571428571432
bodymassratio,motility_ascending,1,0.3106312292358804,0.1428571428571428
bodymassratio,tiering_ascending,1,0.10697674418604652,0.3142857142857143
bodymassratio,calcification_ascending,1,0.20773809523809517,-0.05714285714285716
bodymassratio,random,1,0.19047619047619047,-0.11428571428571432
bodymassratio,generality_descending,1,-0.050724637681159424,0.05714285714285716
bodymassratio,vulnerability_descending,1,0.07362637362637359,0.20714285714285707
bodymassratio,size_descending,1,0.20746753246753236,-0.09999999999999998
bodymassratio,motility_descending,1,0.22745098039215694,0.1428571428571428
bodymassratio,tiering_descending,1,0.21857923497267762,-0.4214285714285714
bodymassratio,calcification_descending,1,0.09841628959276028,0.05714285714285716
bodymassratio,generality_ascending,1,0.15774647887323945,0.021428571428571352
bodymassratio,vulnerability_ascending,1,-0.06589147286821706,-0.11428571428571432
bodymassratio,size_ascending,1,0.12403100775193798,-0.11428571428571432
bodymassratio,motility_ascending,1,0.3198005698005699,0.22857142857142865
bodymassratio,tiering_ascending,1,0.17860830064009914,0.48571428571428577
