model,extinction_mechanism,n_rep,tss_link,tss_node
random,random,1,0.8474264705882353,0.08082706766917291
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9780219780219781,0.16917293233082709
random,motility_descending,1,0.7263546798029556,0.4342105263157894
random,tiering_descending,1,0.9808917197452229,-0.3157894736842105
random,calcification_descending,1,1.0,-0.27255639097744355
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.31269349845201244,-0.1842105263157895
random,motility_ascending,1,0.9083333333333332,0.3458646616541352
random,tiering_ascending,1,0.6554621848739495,0.3458646616541352
random,calcification_ascending,1,0.6818181818181817,0.16917293233082709
random,random,1,0.765704584040747,0.08082706766917291
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9673913043478262,0.16917293233082709
random,motility_descending,1,0.7857142857142856,-0.007518796992481258
random,tiering_descending,1,0.9333333333333333,-0.29323308270676696
random,calcification_descending,1,0.7888888888888888,-0.09586466165413543
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.5334040296924707,-0.007518796992481258
random,motility_ascending,1,1.0,-0.18609022556390986
random,tiering_ascending,1,0.6968957098011859,0.4342105263157894
random,calcification_ascending,1,0.8696078431372549,0.25751879699248126
random,random,1,0.8604651162790697,-0.09586466165413543
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9642857142857144,0.25751879699248126
random,motility_descending,1,0.967741935483871,0.09774436090225569
random,tiering_descending,1,0.9685534591194969,-0.3157894736842105
random,calcification_descending,1,0.9090909090909092,-0.007518796992481258
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.1558441558441559,-0.27255639097744355
random,motility_ascending,1,0.7916666666666665,0.08082706766917291
random,tiering_ascending,1,0.6518595041322315,0.4342105263157894
random,calcification_ascending,1,0.8947368421052633,0.08082706766917291
random,random,1,0.6287625418060201,-0.1842105263157895
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9780219780219781,0.16917293233082709
random,motility_descending,1,0.9076923076923076,0.045112781954887105
random,tiering_descending,1,0.9808917197452229,-0.3157894736842105
random,calcification_descending,1,0.8076923076923077,-0.007518796992481258
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.48809523809523814,-0.09586466165413543
random,motility_ascending,1,0.892983699503898,0.16917293233082709
random,tiering_ascending,1,0.6551875411274404,0.3458646616541352
random,calcification_ascending,1,0.6942652329749104,0.25751879699248126
random,random,1,0.8376623376623376,0.08082706766917291
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9642857142857144,0.25751879699248126
random,motility_descending,1,0.8148148148148149,0.3458646616541352
random,tiering_descending,1,0.9848484848484849,-0.3327067669172933
random,calcification_descending,1,1.0,-0.1842105263157895
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.2916666666666665,-0.1842105263157895
random,motility_ascending,1,0.7181818181818183,0.08082706766917291
random,tiering_ascending,1,0.7105263157894737,0.6109022556390977
random,calcification_ascending,1,0.7741935483870968,-0.1842105263157895
random,random,1,0.7916666666666665,-0.007518796992481258
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9780219780219781,0.16917293233082709
random,motility_descending,1,0.773773987206823,0.3984962406015038
random,tiering_descending,1,0.903225806451613,-0.36466165413533835
random,calcification_descending,1,0.8,0.08082706766917291
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.4285714285714284,-0.09586466165413543
random,motility_ascending,1,0.8648648648648649,0.08082706766917291
random,tiering_ascending,1,0.6968957098011859,0.4342105263157894
random,calcification_ascending,1,0.6397058823529411,-0.09586466165413543
random,random,1,0.6727442730247779,0.16917293233082709
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9642857142857144,0.25751879699248126
random,motility_descending,1,0.9310344827586206,0.16917293233082709
random,tiering_descending,1,0.9574468085106385,-0.3308270676691729
random,calcification_descending,1,0.8909090909090909,-0.007518796992481258
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.5334040296924707,-0.007518796992481258
random,motility_ascending,1,0.8928571428571428,-0.007518796992481258
random,tiering_ascending,1,0.69336917562724,0.4342105263157894
random,calcification_ascending,1,0.7755244755244755,0.08082706766917291
random,random,1,0.8034960819770947,0.16917293233082709
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9642857142857144,0.25751879699248126
random,motility_descending,1,0.8909090909090909,-0.007518796992481258
random,tiering_descending,1,0.9574468085106385,-0.3308270676691729
random,calcification_descending,1,0.8055555555555556,-0.09586466165413543
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.2916666666666665,-0.1842105263157895
random,motility_ascending,1,0.7998696219035202,0.3101503759398496
random,tiering_ascending,1,0.7132891524241367,0.4342105263157894
random,calcification_ascending,1,0.6482213438735176,0.02631578947368407
random,random,1,0.49230769230769234,-0.1842105263157895
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9642857142857144,0.25751879699248126
random,motility_descending,1,0.9402985074626866,0.08082706766917291
random,tiering_descending,1,0.9333333333333333,-0.29323308270676696
random,calcification_descending,1,0.7729779411764706,0.08082706766917291
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.48809523809523814,-0.09586466165413543
random,motility_ascending,1,0.9824561403508771,-0.007518796992481258
random,tiering_ascending,1,0.6337928596677271,0.4342105263157894
random,calcification_ascending,1,1.0,-0.007518796992481258
random,random,1,0.6241379310344828,-0.09586466165413543
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9642857142857144,0.25751879699248126
random,motility_descending,1,0.7702702702702702,0.08082706766917291
random,tiering_descending,1,0.9848484848484849,-0.3327067669172933
random,calcification_descending,1,0.9545454545454546,-0.09586466165413543
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.48809523809523814,-0.09586466165413543
random,motility_ascending,1,0.8666666666666667,0.25751879699248126
random,tiering_ascending,1,0.6535334584115073,0.25751879699248126
random,calcification_ascending,1,0.8782051282051282,-0.007518796992481258
random,random,1,0.7556818181818183,-0.09586466165413543
random,generality_descending,1,0.7936507936507935,0.16917293233082709
random,vulnerability_descending,1,0.9333333333333333,-0.29323308270676696
random,size_descending,1,0.9673913043478262,0.16917293233082709
random,motility_descending,1,0.9179566563467492,0.25751879699248126
random,tiering_descending,1,0.9808917197452229,-0.3157894736842105
random,calcification_descending,1,0.8399999999999999,-0.007518796992481258
random,generality_ascending,1,0.9333333333333333,-0.09586466165413543
random,vulnerability_ascending,1,0.6027777777777779,0.25751879699248126
random,size_ascending,1,0.4285714285714284,-0.09586466165413543
random,motility_ascending,1,0.9099264705882353,0.08082706766917291
random,tiering_ascending,1,0.6968957098011859,0.4342105263157894
random,calcification_ascending,1,0.7545454545454546,0.08082706766917291
random,random,1,0.7303030303030305,0.08082706766917291
random,generality_descending,1,0.7936507936507935,0.16917293233082709
