id,model,richness,connectance,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5,time,extinction_mechanism,links
pre_traits,adbm,53,0.09967960128159488,0.8928180502783507,1.0,4.0,1.0,3.5103000008248584,4.025769675528691,995.0,144.0,877.0,776.0,pre,random,280
pre_traits,adbm,53,0.10715557137771449,0.8319099454738433,3.0,3.0,28.0,4.730317865826373,9.613239238166171,279.0,106.0,3001.0,1180.0,pre,generality_descending,301
pre_traits,adbm,60,0.09333333333333334,0.8495034926376035,3.0,38.0,7.0,9.959579325402405,4.65122546272321,61.0,654.0,757.0,3045.0,pre,vulnerability_descending,336
pre_traits,adbm,53,0.16482734069063723,0.8583782936188302,3.0,5.0,5.0,6.421571049673803,7.144527069981681,1809.0,84.0,3034.0,2779.0,pre,size_descending,463
pre_traits,adbm,53,0.14880740477038093,0.8717733944725934,3.0,5.0,1.0,5.531936569240087,6.024502460652122,1991.0,70.0,2313.0,2165.0,pre,motility_descending,418
pre_traits,adbm,53,0.08757564969740121,0.8964852620556861,2.0,6.0,4.0,3.9276844794486223,4.132862388702018,502.0,105.0,787.0,744.0,pre,tiering_descending,246
pre_traits,adbm,53,0.2029191883232467,0.8179645255233703,3.0,29.0,2.0,15.178306458152393,6.315139502623098,186.0,1769.0,2048.0,7001.0,pre,generality_ascending,570
pre_traits,adbm,53,0.13848344606621574,0.8431515328881782,2.0,3.0,36.0,4.74318700156184,13.097186127953085,61.0,449.0,5244.0,1369.0,pre,vulnerability_ascending,389
pre_traits,adbm,53,0.25062299750801,0.8214761786627413,3.0,14.0,2.0,11.459590136466094,7.88713011686801,2509.0,2253.0,3688.0,5485.0,pre,size_ascending,704
pre_traits,adbm,54,0.08196159122085048,0.8929330889049254,6.0,16.0,4.0,4.644338618356405,3.9170736663505643,551.0,262.0,554.0,719.0,pre,motility_ascending,239
pre_traits,adbm,53,0.09754360982556069,0.8939735819399982,1.0,5.0,2.0,3.9939177269780326,3.82670700500797,609.0,266.0,686.0,720.0,pre,tiering_ascending,274
during_traits,adbm,53,0.15557137771448915,0.8642168928579939,4.0,7.0,1.0,5.12124406601995,4.371699459976628,2586.0,749.0,1331.0,1516.0,during,random,437
during_traits,adbm,53,0.15272338910644356,0.865566086785558,3.0,4.0,5.0,4.724177384408994,4.571080292040873,2603.0,677.0,1388.0,1425.0,during,generality_descending,429
during_traits,adbm,53,0.14845140619437522,0.8739783431958434,5.0,4.0,1.0,4.887337389972709,4.057461009097725,2384.0,593.0,1267.0,1460.0,during,vulnerability_descending,417
during_traits,adbm,53,0.15485938056247775,0.8659647051241797,5.0,4.0,1.0,4.912145428840475,4.35165083867843,2615.0,715.0,1345.0,1480.0,during,size_descending,435
during_traits,adbm,53,0.15272338910644356,0.865566086785558,3.0,4.0,5.0,4.724177384408994,4.571080292040873,2603.0,677.0,1388.0,1425.0,during,motility_descending,429
during_traits,adbm,53,0.15272338910644356,0.865566086785558,3.0,4.0,5.0,4.724177384408994,4.571080292040873,2603.0,677.0,1388.0,1425.0,during,tiering_descending,429
