model,time,n_rep,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,NDTI,NDCI
adbm,G1,1,47,0.2883657763693979,1,0.7673590235703025,3.2346493233397977,2.0,0.8633117122555108,0.9272903937785781,12.574468085106384,-1.0,0.05490018148820327
bodymassratio,G1,1,47,0.18832050701674966,4,0.8397896148656498,6.047892360271871,4.0,0.5579737965943168,0.562431882434739,7.872340425531915,0.6647135416666666,0.002673002673002673
lmatrix,G1,1,47,0.21819827976459938,1,0.7866880768722332,2.960851760851763,2.0,1.0304430360622838,1.0824869948461908,9.27659574468085,-1.0,0.03539116551357105
niche,G1,1,45,0.06617283950617284,3,0.9073347268614912,3.4761904761904763,3.0,1.3947485138321951,0.7141405033314886,2.0,0.8279569892473119,-0.3696612665684831
pfim_metaweb,G1,1,47,0.11815301041195111,4,0.8315850490246237,2.1263668482285256,3.0,1.7514742960613416,0.5464685034798675,4.574468085106383,-0.42614601018675724,-0.7494543867306853
pfim_downsample,G1,1,47,0.09597102761430512,3,0.8859727500801695,2.087344865956221,3.0,1.9387206612622956,0.536858119629105,3.5319148936170213,-0.2802197802197802,-0.7747402952433023
random,G1,1,47,0.14576731552738795,2,0.7633558072250154,4.758676489721569,1.0,0.4060337292163681,2.0927426484290006,5.872340425531915,-0.9525065963060686,0.9285359801488834
adbm,G2,1,20,0.285,1,0.817385825980132,3.1101774042950514,2.0,0.982752890152525,0.8947458946186272,4.75,-1.0,-0.08133971291866028
bodymassratio,G2,1,20,0.14,4,0.9093805563621755,5.777777777777778,4.0,0.5862733440486595,0.9526941840790717,1.85,0.8120805369127517,0.25301204819277107
lmatrix,G2,1,20,0.2425,1,0.8106404584680044,2.9733333333333345,2.0,1.060403370773096,1.0151257730830234,3.9,-1.0,-0.03459637561779242
niche,G2,1,20,0.08,4,0.9395945350640683,4.0,2.0,1.0418859418331134,0.6539354547257462,0.65,0.7241379310344828,-0.23076923076923078
pfim_metaweb,G2,1,20,0.175,3,0.7922802242263642,2.1722756410256414,2.0,1.4846149779161804,0.5676567244564473,2.55,-0.0963855421686747,-1.0
pfim_downsample,G2,1,20,0.145,3,0.8534818616377695,2.8182938856015776,2.0,1.6552480321504446,0.6609261158567126,1.95,-0.22772277227722773,-0.9463087248322147
random,G2,1,20,0.195,3,0.7964976506879128,3.5889246323529407,1.0,0.49844909821588834,1.6965554182540488,2.95,-0.8613861386138614,0.9140401146131805
adbm,G3,1,28,0.26658163265306123,1,0.7929805114476174,3.2027006172839494,2.0,1.0533031543829297,0.8860296293076105,6.5,-1.0,-0.14055299539170507
bodymassratio,G3,1,28,0.16964285714285715,4,0.857397646029416,5.697999999999999,4.0,0.6161201025060081,0.8795290531237764,3.7857142857142856,0.6692015209125475,0.17751479289940827
lmatrix,G3,1,28,0.21173469387755103,1,0.7858161707061078,3.0521645021645014,2.0,1.1658397740593844,1.0765549471524305,4.964285714285714,-1.0,-0.062458908612754764
niche,G3,1,27,0.0823045267489712,4,0.9242545153079591,3.4166666666666665,2.0,0.9028800073610599,0.8495473908092291,1.2592592592592593,0.5268817204301075,-0.05357142857142857
pfim_metaweb,G3,1,28,0.13010204081632654,3,0.790610335850184,2.2574851527149327,2.0,1.6892443153121253,0.7096245515367301,2.6785714285714284,-0.21033210332103322,-0.9037433155080213
pfim_downsample,G3,1,28,0.11096938775510204,3,0.852808646642193,3.024213072466749,2.0,1.7894374767969359,0.7851197051812016,2.142857142857143,-0.15492957746478872,-0.8892307692307693
random,G3,1,28,0.23214285714285715,2,0.7531652650593104,5.831444543363353,1.0,0.32568476723517353,1.6208698081311905,5.535714285714286,-0.75,0.9284332688588007
adbm,G4,1,44,0.30578512396694213,1,0.7655392856476928,3.9634996495108674,2.0,0.8186596329022411,0.9208706212079729,12.477272727272727,-1.0,0.0956858407079646
bodymassratio,G4,1,44,0.16167355371900827,4,0.8397067010514812,6.412310211747652,4.0,0.6273653204669798,0.6236918965462107,6.136363636363637,0.7308263236021771,-0.0022512381809995496
