model,time,n_rep,bodysize_method,richness,connectance,diameter,complexity,trophic_level,distance,generality,vulnerability,redundancy,S1,S2,S4,S5
adbm,G1,1,uniform,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
bodymassratio,G1,1,uniform,47,1.0,1,NaN,23.500000000000057,1.0,0.0,0.0,46.02127659574468,0.0,0.0,0.0,0.0
lmatrix,G1,1,uniform,47,0.21819827976459938,1,0.7866880768722332,2.829642704321781,2.0,1.0824869948461908,1.0304430360622838,9.27659574468085,0.0,0.5314622000905387,1.641014033499321,1.761430511543685
niche,G1,1,uniform,46,0.0893194706994329,5,0.8855072023006892,4.374382716049383,2.0,1.1395378234376345,1.0174829248154007,3.130434782608696,0.15359168241965973,0.06568998109640832,0.251890359168242,0.29773156899810965
pfim_metaweb,G1,1,uniform,47,0.11815301041195111,4,0.8315850490246237,2.1263668482285256,3.0,1.7514742960613416,0.5464685034798675,4.574468085106383,0.07650520597555455,0.19013128112267993,0.12992304210049796,0.9071978270710729
pfim_downsample,G1,1,uniform,47,0.09642372114078769,4,0.8999111845769041,2.15763974587504,3.0,1.8773360957911194,0.5382430433510684,3.5531914893617023,0.07288365776369397,0.10276143051154368,0.09823449524671797,0.707559981892259
random,G1,1,uniform,47,0.18741511996378452,3,0.9344214081379755,7.843203695555886e17,1.0,0.29815192625226256,0.29815192625226256,7.829787234042553,0.0,0.0,0.0,0.0
adbm,G2,1,uniform,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
bodymassratio,G2,1,uniform,20,1.0,1,NaN,9.999999999999998,1.0,0.0,0.0,19.05,0.0,0.0,0.0,0.0
lmatrix,G2,1,uniform,20,0.2425,1,0.8106404584680045,2.773148148148147,2.0,1.0151257730830234,1.060403370773096,3.9,0.0,0.31,0.785,0.7325
niche,G2,1,uniform,20,0.1525,3,0.8930188425872846,3.0,2.0,0.9949020679924656,0.6061958206983535,2.1,0.1775,0.0775,0.1175,0.2375
pfim_metaweb,G2,1,uniform,20,0.175,3,0.7922802242263642,2.1722756410256414,2.0,1.4846149779161804,0.5676567244564473,2.55,0.1875,0.2275,0.0,0.415
pfim_downsample,G2,1,uniform,20,0.16,3,0.8417758526362411,2.538755341880342,2.0,1.5462975729821624,0.6133788002788969,2.25,0.145,0.1825,0.0125,0.3875
random,G2,1,uniform,20,0.22,4,0.9232955044949852,1.842831883994849e17,1.0,0.2596548048079451,0.2596548048079451,3.45,0.0,0.0,0.0,0.0
adbm,G3,1,uniform,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
bodymassratio,G3,1,uniform,28,1.0,1,NaN,13.999999999999957,1.0,0.0,0.0,27.035714285714285,0.0,0.0,0.0,0.0
lmatrix,G3,1,uniform,28,0.23596938775510204,1,0.7908261841985692,2.760395622895621,2.0,0.9742200883045534,1.064922281140871,5.642857142857143,0.0,0.3635204081632653,1.1505102040816326,1.0114795918367347
niche,G3,1,uniform,26,0.06360946745562131,4,0.9422023081664926,3.0,2.0,1.0672366423798854,0.6152558420826851,0.6923076923076923,0.051775147928994084,0.005917159763313609,0.03106508875739645,0.07100591715976332
pfim_metaweb,G3,1,uniform,28,0.13010204081632654,3,0.7906103358501839,2.2574851527149327,2.0,1.6892443153121253,0.7096245515367301,2.6785714285714284,0.1364795918367347,0.20918367346938777,0.02295918367346939,0.45408163265306123
pfim_downsample,G3,1,uniform,28,0.11989795918367346,3,0.8257130570891271,2.748090654443596,2.0,1.7542263236159352,0.7439712931599067,2.392857142857143,0.09948979591836735,0.17219387755102042,0.026785714285714284,0.4221938775510204
random,G3,1,uniform,28,0.15306122448979592,4,0.920014060745695,4.064603020984689e16,1.0,0.47035578863370503,0.47035578863370503,3.3214285714285716,0.0,0.0,0.0,0.0
adbm,G4,1,uniform,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
bodymassratio,G4,1,uniform,44,1.0,1,NaN,22.000000000000004,1.0,0.0,0.0,43.02272727272727,0.0,0.0,0.0,0.0
