id,model,richness,connectance,complexity,distance,basal,top,S1,S2,S4,S5
AkatoreB,adbm,15,0.07555555555555556,0.8826395630826939,1.0,7.0,10.0,9.0,4.0,22.0,10.0
AkatoreB,niche,15,0.1688888888888889,0.8610423390533868,3.0,8.0,2.0,3.0,7.0,8.0,35.0
AkatoreB,bodymassratio,15,0.1688888888888889,0.8935993193534469,3.0,5.0,2.0,46.0,11.0,46.0,52.0
Berwick,adbm,25,0.0384,0.9098916269343962,2.0,21.0,11.0,5.0,1.0,12.0,72.0
Berwick,niche,25,0.0896,0.9042753479267176,3.0,11.0,3.0,10.0,1.0,9.0,20.0
Berwick,bodymassratio,25,0.1392,0.8886744566804327,3.0,5.0,4.0,219.0,48.0,145.0,121.0
Blackrock,adbm,21,0.10884353741496598,0.866507332254965,1.0,5.0,14.0,25.0,17.0,170.0,52.0
Blackrock,niche,21,0.12698412698412698,0.9077968144870112,2.0,6.0,0.0,12.0,11.0,20.0,39.0
Blackrock,bodymassratio,21,0.13378684807256236,0.9018987430285027,3.0,4.0,3.0,103.0,26.0,75.0,106.0
Broad,adbm,25,0.1056,0.8463985092306218,2.0,13.0,6.0,37.0,28.0,181.0,139.0
Broad,niche,25,0.1152,0.8889159264311906,3.0,11.0,0.0,8.0,6.0,25.0,76.0
Broad,bodymassratio,25,0.1216,0.8982016983654603,4.0,5.0,4.0,168.0,20.0,140.0,155.0
Canton,adbm,23,0.13043478260869565,0.8295643459518725,2.0,13.0,9.0,23.0,7.0,190.0,221.0
Canton,niche,23,0.16068052930056712,0.9046856563271243,3.0,4.0,0.0,20.0,4.0,22.0,21.0
Canton,bodymassratio,23,0.15122873345935728,0.8808377320210221,3.0,4.0,7.0,216.0,38.0,150.0,128.0
Catlins,adbm,20,0.065,0.9531908910364528,2.0,14.0,4.0,18.0,3.0,12.0,50.0
Catlins,niche,20,0.1175,0.8966663465715786,2.0,9.0,2.0,34.0,8.0,20.0,87.0
Catlins,bodymassratio,20,0.1125,0.9157770890810142,2.0,4.0,5.0,96.0,15.0,39.0,36.0
Dempsters,adbm,33,0.10835629017447199,0.886748053338601,2.0,8.0,7.0,265.0,16.0,337.0,291.0
Dempsters,niche,33,0.05325987144168962,0.9325598516862934,2.0,14.0,11.0,9.0,6.0,21.0,39.0
Dempsters,bodymassratio,33,0.09825528007346189,0.8979006596852545,3.0,9.0,9.0,327.0,44.0,193.0,217.0
German,adbm,19,0.13019390581717452,0.8847525235822391,2.0,7.0,4.0,61.0,12.0,85.0,75.0
German,niche,19,0.060941828254847646,0.9284706019993137,2.0,10.0,5.0,15.0,1.0,13.0,22.0
German,bodymassratio,19,0.09418282548476455,0.9234526843695252,3.0,5.0,6.0,47.0,6.0,35.0,35.0
Healy,adbm,19,0.16066481994459833,0.8835666438136407,3.0,5.0,3.0,86.0,22.0,81.0,117.0
Healy,niche,19,0.12742382271468145,0.9176399596827826,3.0,3.0,1.0,15.0,1.0,7.0,10.0
Healy,bodymassratio,19,0.13573407202216067,0.9197812911432252,1.0,2.0,3.0,101.0,25.0,41.0,40.0
Kyeburn,adbm,20,0.1025,0.8805603143432424,2.0,9.0,5.0,34.0,13.0,61.0,76.0
Kyeburn,niche,20,0.115,0.8399201961076072,3.0,12.0,8.0,3.0,8.0,22.0,56.0
Kyeburn,bodymassratio,20,0.12,0.9276653534544436,5.0,5.0,3.0,91.0,16.0,35.0,54.0
Little,adbm,15,0.06666666666666667,0.8488136033206899,2.0,10.0,10.0,0.0,2.0,18.0,16.0
Little,niche,15,0.09777777777777778,0.9456620017002354,2.0,6.0,4.0,10.0,3.0,10.0,11.0
Little,bodymassratio,15,0.10666666666666667,0.9403157589759386,3.0,6.0,5.0,29.0,7.0,17.0,27.0
Narrowdale,adbm,16,0.0,0.0,1.0,16.0,16.0,0.0,0.0,0.0,0.0
Narrowdale,niche,16,0.08984375,0.9298920983882456,2.0,6.0,5.0,22.0,2.0,16.0,25.0
Narrowdale,bodymassratio,16,0.11328125,0.9232757637802822,3.0,3.0,4.0,39.0,9.0,16.0,33.0
NorthCol,adbm,22,0.09917355371900827,0.8609576637439162,2.0,10.0,11.0,34.0,22.0,97.0,72.0
NorthCol,niche,22,0.14049586776859505,0.8962778503507227,3.0,4.0,3.0,62.0,10.0,59.0,83.0
NorthCol,bodymassratio,22,0.14669421487603307,0.8802564901219748,3.0,6.0,3.0,121.0,36.0,112.0,129.0
Powder,adbm,23,0.10586011342155009,0.8895891552876181,2.0,12.0,3.0,71.0,12.0,55.0,139.0
Powder,niche,23,0.10586011342155009,0.9040879781784408,3.0,6.0,2.0,13.0,4.0,33.0,19.0
Powder,bodymassratio,23,0.12476370510396975,0.9014511959146626,4.0,4.0,4.0,167.0,30.0,71.0,84.0
Stony,adbm,26,0.08136094674556213,0.8371421275611377,2.0,16.0,4.0,40.0,2.0,112.0,174.0
