contrast,estimate,SE,df,t.ratio,p.value
adbm - lmatrix,-0.0033629573112231824,0.0836524214873344,2394,-0.040201553660133546,0.9999999852869054
adbm - log ratio,-0.2885340892815736,0.0836524214873329,2394,-3.449201877859148,0.0075396407413673705
adbm - niche,-0.016305874527974912,0.08365242148733747,2394,-0.19492411860956285,0.9999613602325965
adbm - pfim,0.25796596906807623,0.08365242148733425,2394,3.0837836428576626,0.02522266519215388
adbm - random,-0.01796533935674688,0.08365242148733532,2394,-0.21476173716581257,0.9999375500692316
lmatrix - log ratio,-0.2851711319703506,0.08365242148733437,2394,-3.409000324198956,0.00867555660495234
lmatrix - niche,-0.012942917216751754,0.08365242148733568,2394,-0.15472256494943437,0.9999877293933521
lmatrix - pfim,0.26132892637929944,0.08365242148733476,2394,3.1239851965177774,0.02225323928469336
lmatrix - random,-0.01460238204552372,0.08365242148733512,2394,-0.17456018350568017,0.999977651551903
log ratio - niche,0.27222821475359876,0.08365242148733494,2394,3.2542777592494962,0.014636224253680385
log ratio - pfim,0.54650005834965,0.08365242148733404,2394,6.532985520716774,1.1160912194441153e-9
log ratio - random,0.2705687499248269,0.08365242148733439,2394,3.2344401406932737,0.015620247341572746
niche - pfim,0.27427184359605117,0.08365242148733469,2394,3.278707761467216,0.01350072552084125
niche - random,-0.001659464828771967,0.08365242148733505,2394,-0.019837618556244777,0.9999999995692546
pfim - random,-0.2759313084248232,0.0836524214873346,2394,-3.298545380023466,0.012637423405539083
