Term,Network metric,Term type,Estimate / EDF,Std. Error / Ref.df,t / F value,p-value
(Intercept),connectance,parametric,0.298,0.001,241.811,<0.001
Model: log ratio,connectance,parametric,-0.126,0.002,-72.283,<0.001
Model: ATN,connectance,parametric,-0.073,0.002,-41.891,<0.001
Model: Niche,connectance,parametric,-0.18,0.002,-103.197,<0.001
Model: PFIM,connectance,parametric,-0.179,0.002,-102.983,<0.001
Model: Random,connectance,parametric,-0.077,0.002,-43.973,<0.001
Smooth: time by ADBM,connectance,smooth,2.921,2.995,22.563,<0.001
Smooth: time by log ratio,connectance,smooth,2.927,2.996,13.81,<0.001
Smooth: time by ATN,connectance,smooth,2.958,2.999,27.042,<0.001
Smooth: time by Niche,connectance,smooth,2.249,2.618,2.719,0.112
Smooth: time by PFIM,connectance,smooth,2.987,3,113.849,<0.001
Smooth: time by Random,connectance,smooth,2.604,2.882,4.72,0.016
ANOVA: shared vs model-specific smooths,connectance,anova,NA,NA,32.045,<0.001
(Intercept),trophic_level,parametric,3.583,0.032,110.465,<0.001
Model: log ratio,trophic_level,parametric,2.666,0.046,58.124,<0.001
Model: ATN,trophic_level,parametric,-0.388,0.046,-8.45,<0.001
Model: Niche,trophic_level,parametric,0.448,0.046,9.771,<0.001
Model: PFIM,trophic_level,parametric,-1.105,0.046,-24.099,<0.001
Model: Random,trophic_level,parametric,2.312,0.046,50.402,<0.001
Smooth: time by ADBM,trophic_level,smooth,2.74,2.948,15.265,<0.001
Smooth: time by log ratio,trophic_level,smooth,2.918,2.995,72.135,<0.001
Smooth: time by ATN,trophic_level,smooth,2.642,2.903,11.011,<0.001
Smooth: time by Niche,trophic_level,smooth,2.925,2.996,46.779,<0.001
Smooth: time by PFIM,trophic_level,smooth,1.496,1.811,6.427,0.007
Smooth: time by Random,trophic_level,smooth,2.994,3,607.81,<0.001
ANOVA: shared vs model-specific smooths,trophic_level,anova,NA,NA,78.029,<0.001
(Intercept),generality,parametric,0.902,0.004,200.915,<0.001
Model: log ratio,generality,parametric,-0.265,0.006,-41.698,<0.001
Model: ATN,generality,parametric,0.129,0.006,20.329,<0.001
Model: Niche,generality,parametric,0.223,0.006,35.079,<0.001
Model: PFIM,generality,parametric,0.821,0.006,129.304,<0.001
Model: Random,generality,parametric,-0.575,0.006,-90.653,<0.001
Smooth: time by ADBM,generality,smooth,2.949,2.998,101.687,<0.001
Smooth: time by log ratio,generality,smooth,2.847,2.981,25.35,<0.001
Smooth: time by ATN,generality,smooth,2.979,3,230.268,<0.001
Smooth: time by Niche,generality,smooth,1.001,1.001,0.391,0.532
Smooth: time by PFIM,generality,smooth,2.996,3,366.841,<0.001
Smooth: time by Random,generality,smooth,2.933,2.996,48.486,<0.001
ANOVA: shared vs model-specific smooths,generality,anova,NA,NA,122.123,<0.001
(Intercept),vulnerability,parametric,0.889,0.006,141.193,<0.001
Model: log ratio,vulnerability,parametric,-0.2,0.009,-22.403,<0.001
Model: ATN,vulnerability,parametric,0.178,0.009,19.974,<0.001
Model: Niche,vulnerability,parametric,-0.241,0.009,-27.068,<0.001
Model: PFIM,vulnerability,parametric,-0.257,0.009,-28.815,<0.001
Model: Random,vulnerability,parametric,0.815,0.009,91.514,<0.001
Smooth: time by ADBM,vulnerability,smooth,2.595,2.877,10.151,<0.001
Smooth: time by log ratio,vulnerability,smooth,2.909,2.993,49.94,<0.001
Smooth: time by ATN,vulnerability,smooth,2.912,2.994,45.848,<0.001
Smooth: time by Niche,vulnerability,smooth,2.824,2.976,20.777,<0.001
Smooth: time by PFIM,vulnerability,smooth,2.944,2.997,40.497,<0.001
