Model1,Model2,tau,metric
ADBM,ADBM,1,S1
ATN,ADBM,0.8129201441957019,S1
Body-size ratio,ADBM,-0.19355241528469094,S1
Niche,ADBM,0.11613144917081457,S1
PFIM,ADBM,0.2709733813985673,S1
Random,ADBM,0.03871048305693819,S1
ADBM,ATN,0.8129201441957019,S1
ATN,ATN,1,S1
Body-size ratio,ATN,-0.1794871794871795,S1
Niche,ATN,0.07692307692307693,S1
PFIM,ATN,0.28205128205128205,S1
Random,ATN,0.05128205128205128,S1
ADBM,Body-size ratio,-0.19355241528469094,S1
ATN,Body-size ratio,-0.1794871794871795,S1
Body-size ratio,Body-size ratio,1,S1
Niche,Body-size ratio,0.4358974358974359,S1
PFIM,Body-size ratio,0.1794871794871795,S1
Random,Body-size ratio,-0.05128205128205128,S1
ADBM,Niche,0.11613144917081457,S1
ATN,Niche,0.07692307692307693,S1
Body-size ratio,Niche,0.4358974358974359,S1
Niche,Niche,1,S1
PFIM,Niche,-0.1794871794871795,S1
Random,Niche,-0.10256410256410256,S1
ADBM,PFIM,0.2709733813985673,S1
ATN,PFIM,0.28205128205128205,S1
Body-size ratio,PFIM,0.1794871794871795,S1
Niche,PFIM,-0.1794871794871795,S1
PFIM,PFIM,1,S1
Random,PFIM,0.3076923076923077,S1
ADBM,Random,0.03871048305693819,S1
ATN,Random,0.05128205128205128,S1
Body-size ratio,Random,-0.05128205128205128,S1
Niche,Random,-0.10256410256410256,S1
PFIM,Random,0.3076923076923077,S1
Random,Random,1,S1
ADBM,ADBM,1,S2
ATN,ADBM,0.5641025641025641,S2
Body-size ratio,ADBM,0.46153846153846156,S2
Niche,ADBM,0.48717948717948717,S2
PFIM,ADBM,-0.07692307692307693,S2
Random,ADBM,0.20512820512820512,S2
ADBM,ATN,0.5641025641025641,S2
ATN,ATN,1,S2
Body-size ratio,ATN,0.48717948717948717,S2
Niche,ATN,0.3076923076923077,S2
PFIM,ATN,0.2564102564102564,S2
Random,ATN,0.1282051282051282,S2
ADBM,Body-size ratio,0.46153846153846156,S2
ATN,Body-size ratio,0.48717948717948717,S2
Body-size ratio,Body-size ratio,1,S2
Niche,Body-size ratio,0.3076923076923077,S2
PFIM,Body-size ratio,-0.15384615384615385,S2
Random,Body-size ratio,0.07692307692307693,S2
ADBM,Niche,0.48717948717948717,S2
ATN,Niche,0.3076923076923077,S2
Body-size ratio,Niche,0.3076923076923077,S2
Niche,Niche,1,S2
PFIM,Niche,-0.3333333333333333,S2
Random,Niche,0,S2
ADBM,PFIM,-0.07692307692307693,S2
ATN,PFIM,0.2564102564102564,S2
Body-size ratio,PFIM,-0.15384615384615385,S2
Niche,PFIM,-0.3333333333333333,S2
